kaba	kab'a
kosovo	kosov'o
kosovon	kosov'o'n
kosovanoj	kosov'an'o'j
kosta	kost'a
kostaj	kost'a'j
kostajn	kost'a'j'n
kostan	kost'a'n
kostas	kost'as
koste	kost'e
kosti	kost'i
kostis	kost'is
kosto	kost'o
kostoj	kost'o'j
kostojn	kost'o'j'n
koston	kost'o'n
kostos	kost'os
kostu	kost'u
kostus	kost'us
kostante	kost'ant'e
kostefika	kost'efik'a
kostefikaj	kost'efik'a'j
kostefikan	kost'efik'a'n
kostefikeco	kost'efik'ec'o
kostarika	kostarik'a
kostariko	kostarik'o
kostumo	kostum'o
kostumoj	kostum'o'j
kostumojn	kostum'o'j'n
kostumon	kostum'o'n
kostumisto	kostum'ist'o
koŝera	koŝer'a
koŝeraj	koŝer'a'j
koŝia	koŝi'a
koŝmaro	koŝmar'o
koŝmaroj	koŝmar'o'j
koŝmarojn	koŝmar'o'j'n
koŝmaron	koŝmar'o'n
kota	kot'a
kotaj	kot'a'j
kotajn	kot'a'j'n
koto	kot'o
koton	kot'o'n
kotejoj	kot'ej'o'j
koterio	koteri'o
koterioj	koteri'o'j
kotizi	kotiz'i
kotizo	kotiz'o
kotizoj	kotiz'o'j
kotizojn	kotiz'o'j'n
kotizon	kotiz'o'n
kotleto	kotlet'o
kotletojn	kotlet'o'j'n
kotleton	kotlet'o'n
kotona	koton'a
kotonaj	koton'a'j
kotonajn	koton'a'j'n
kotono	koton'o
kotonoj	koton'o'j
kotonojn	koton'o'j'n
kotonon	koton'o'n
kotonŝtofo	koton'ŝtof'o
koturno	koturn'o
koturnoj	koturn'o'j
kovas	kov'as
kovi	kov'i
kovis	kov'is
kovado	kov'ad'o
kovadon	kov'ad'o'n
kovejo	kov'ej'o
kovejoj	kov'ej'o'j
kovilo	kov'il'o
kovalenta	kovalent'a
kovalentaj	kovalent'a'j
kovalentan	kovalent'a'n
kovalente	kovalent'e
koverto	kovert'o
kovertoj	kovert'o'j
kovertojn	kovert'o'j'n
koverton	kovert'o'n
kovra	kovr'a
kovraj	kovr'a'j
kovras	kovr'as
kovri	kovr'i
kovris	kovr'is
kovro	kovr'o
kovroj	kovr'o'j
kovrojn	kovr'o'j'n
kovron	kovr'o'n
kovros	kovr'os
kovru	kovr'u
kovrus	kovr'us
kovrado	kovr'ad'o
kovradon	kovr'ad'o'n
kovraĵo	kovr'aĵ'o
kovraĵoj	kovr'aĵ'o'j
kovraĵon	kovr'aĵ'o'n
kovranta	kovr'ant'a
kovrantaj	kovr'ant'a'j
kovrantajn	kovr'ant'a'j'n
kovrantan	kovr'ant'a'n
kovrante	kovr'ant'e
kovrata	kovr'at'a
kovrataj	kovr'at'a'j
kovriĝas	kovr'iĝ'as
kovriĝis	kovr'iĝ'is
kovrila	kovr'il'a
kovrilo	kovr'il'o
kovriloj	kovr'il'o'j
kovrilojn	kovr'il'o'j'n
kovrilon	kovr'il'o'n
kovrilpaĝa	kovr'il'paĝ'a
kovrilpaĝo	kovr'il'paĝ'o
kovrinta	kovr'int'a
kovrinte	kovr'int'e
kovrita	kovr'it'a
kovritaj	kovr'it'a'j
kovritajn	kovr'it'a'j'n
kovritan	kovr'it'a'n
kovrite	kovr'it'e
kovritis	kovr'it'is
kovrokultivaĵoj	kovr'o'kultiv'aĵ'o'j
kovroŝtono	kovr'o'ŝton'o
kozaka	kozak'a
kozako	kozak'o
kozakoj	kozak'o'j
kozakojn	kozak'o'j'n
krabo	krab'o
kraboj	krab'o'j
krabojn	krab'o'j'n
krabon	krab'o'n
kraĉas	kraĉ'as
kraĉi	kraĉ'i
kraĉis	kraĉ'is
kraĉos	kraĉ'os
kraĉu	kraĉ'u
kraĉado	kraĉ'ad'o
krada	krad'a
kradaj	krad'a'j
krado	krad'o
kradoj	krad'o'j
kradojn	krad'o'j'n
kradon	krad'o'n
kradpordo	krad'pord'o
kradrostado	krad'rost'ad'o
kradrostita	krad'rost'it'a
kradrostitaj	krad'rost'it'a'j
krajone	krajon'e
krajono	krajon'o
krajonoj	krajon'o'j
krajonojn	krajon'o'j'n
krajonon	krajon'o'n
kraka	krak'a
krakas	krak'as
krake	krak'e
kraki	krak'i
krakis	krak'is
krako	krak'o
krakon	krak'o'n
krakadis	krak'ad'is
krakado	krak'ad'o
krakadon	krak'ad'o'n
krakanta	krak'ant'a
krakego	krak'eg'o
kraketa	krak'et'a
kraketas	krak'et'as
kraketis	krak'et'is
kraketado	krak'et'ad'o
kraketanta	krak'et'ant'a
krakeno	kraken'o
krakova	krakov'a
krakovo	krakov'o
krakovon	krakov'o'n
krampo	kramp'o
krampoj	kramp'o'j
krampojn	kramp'o'j'n
krampon	kramp'o'n
krampita	kramp'it'a
krano	kran'o
kranoj	kran'o'j
kranon	kran'o'n
kranakvo	kran'akv'o
krania	krani'a
kraniaj	krani'a'j
kranian	krani'a'n
kranio	krani'o
kranioj	krani'o'j
kraniojn	krani'o'j'n
kranion	krani'o'n
kranko	krank'o
krankon	krank'o'n
krankoŝafto	krank'o'ŝaft'o
krankoŝaftoj	krank'o'ŝaft'o'j
kraŝas	kraŝ'as
kraŝi	kraŝ'i
kraŝis	kraŝ'is
kraŝo	kraŝ'o
kraŝoj	kraŝ'o'j
kraŝon	kraŝ'o'n
kratago	kratag'o
kratera	krater'a
kratero	krater'o
krateroj	krater'o'j
kraterojn	krater'o'j'n
krateron	krater'o'n
kravato	kravat'o
kravatoj	kravat'o'j
kravatojn	kravat'o'j'n
kravaton	kravat'o'n
krea	kre'a
kreaj	kre'a'j
kreajn	kre'a'j'n
krean	kre'a'n
kreas	kre'as
krei	kre'i
kreis	kre'is
kreo	kre'o
kreoj	kre'o'j
kreon	kre'o'n
kreos	kre'os
kreu	kre'u
kreus	kre'us
kreada	kre'ad'a
kreadi	kre'ad'i
kreadis	kre'ad'is
kreado	kre'ad'o
kreadoj	kre'ad'o'j
kreadojn	kre'ad'o'j'n
kreadon	kre'ad'o'n
kreajho	kre'aĵ'o
kreaĵo	kre'aĵ'o
kreaĵoj	kre'aĵ'o'j
kreaĵojn	kre'aĵ'o'j'n
kreaĵon	kre'aĵ'o'n
kreaĵaro	kre'aĵ'ar'o
kreanta	kre'ant'a
kreantaj	kre'ant'a'j
kreante	kre'ant'e
kreanto	kre'ant'o
kreantoj	kre'ant'o'j
kreanton	kre'ant'o'n
kreata	kre'at'a
kreataj	kre'at'a'j
kreema	kre'em'a
kreemaj	kre'em'a'j
kreeman	kre'em'a'n
kreemo	kre'em'o
kreemon	kre'em'o'n
kreiĝas	kre'iĝ'as
kreiĝi	kre'iĝ'i
kreiĝis	kre'iĝ'is
kreiĝo	kre'iĝ'o
kreiĝon	kre'iĝ'o'n
kreiĝos	kre'iĝ'os
kreinta	kre'int'a
kreintaj	kre'int'a'j
kreinte	kre'int'e
kreinto	kre'int'o
kreintoj	kre'int'o'j
kreintojn	kre'int'o'j'n
kreinton	kre'int'o'n
kreismo	kre'ism'o
kreita	kre'it'a
kreitaj	kre'it'a'j
kreitajn	kre'it'a'j'n
kreitan	kre'it'a'n
kreite	kre'it'e
kreito	kre'it'o
kreitoj	kre'it'o'j
kreitaĵo	kre'it'aĵ'o
kreitaĵoj	kre'it'aĵ'o'j
kreitaĵojn	kre'it'aĵ'o'j'n
kreitaĵon	kre'it'aĵ'o'n
kreitaĵaro	kre'it'aĵ'ar'o
kreitaro	kre'it'ar'o
kreitulo	kre'it'ul'o
kreituloj	kre'it'ul'o'j
kreota	kre'ot'a
kreda	kred'a
kredas	kred'as
kredi	kred'i
kredis	kred'is
kredo	kred'o
kredoj	kred'o'j
kredojn	kred'o'j'n
kredon	kred'o'n
kredos	kred'os
kredu	kred'u
kredus	kred'us
kredado	kred'ad'o
kredaĵoj	kred'aĵ'o'j
kredanta	kred'ant'a
kredantaj	kred'ant'a'j
kredante	kred'ant'e
kredanto	kred'ant'o
kredantoj	kred'ant'o'j
kredantojn	kred'ant'o'j'n
kredanton	kred'ant'o'n
kredantaro	kred'ant'ar'o
kredaro	kred'ar'o
kredaroj	kred'ar'o'j
kredarojn	kred'ar'o'j'n
kredaron	kred'ar'o'n
kredata	kred'at'a
kredebla	kred'ebl'a
kredeblaj	kred'ebl'a'j
kredeblas	kred'ebl'as
kredeble	kred'ebl'e
kredebleco	kred'ebl'ec'o
kredeblecon	kred'ebl'ec'o'n
kredema	kred'em'a
kredemo	kred'em'o
krederoj	kred'er'o'j
kredigas	kred'ig'as
kredigi	kred'ig'i
kredigis	kred'ig'is
kredigante	kred'ig'ant'e
kredinda	kred'ind'a
kredindaj	kred'ind'a'j
kredindajn	kred'ind'a'j'n
kredindan	kred'ind'a'n
kredinde	kred'ind'e
kredindeco	kred'ind'ec'o
kredindecon	kred'ind'ec'o'n
kredinta	kred'int'a
kredintus	kred'int'us
kredita	kred'it'a
kreditaj	kred'it'a'j
kreditajn	kred'it'a'j'n
kreditan	kred'it'a'n
kredite	kred'it'e
kreditaĵoj	kred'it'aĵ'o'j
kreditaĵojn	kred'it'aĵ'o'j'n
kredkonfeso	kred'konfes'o
kredkonfeson	kred'konfes'o'n
kredokonfeso	kred'o'konfes'o
kredsistemo	kred'sistem'o
kredsistemoj	kred'sistem'o'j
kreduloj	kred'ul'o'j
kredita	kredit'a
kreditaj	kredit'a'j
kreditajn	kredit'a'j'n
kreditan	kredit'a'n
kreditas	kredit'as
kredite	kredit'e
krediti	kredit'i
kreditis	kredit'is
kredito	kredit'o
kreditoj	kredit'o'j
kreditojn	kredit'o'j'n
krediton	kredit'o'n
kreditita	kredit'it'a
kredititaj	kredit'it'a'j
kreditkarto	kredit'kart'o
kreditkartoj	kredit'kart'o'j
kreditkartojn	kredit'kart'o'j'n
kreditkarton	kredit'kart'o'n
kreditoro	kreditor'o
kreditoroj	kreditor'o'j
kreditorojn	kreditor'o'j'n
kreiva	kreiv'a
kreivaj	kreiv'a'j
kreivajn	kreiv'a'j'n
kreivan	kreiv'a'n
kreive	kreiv'e
kreivo	kreiv'o
kreivon	kreiv'o'n
kreiveco	kreiv'ec'o
kreivecon	kreiv'ec'o'n
krema	krem'a
kremo	krem'o
kremoj	krem'o'j
kremon	krem'o'n
kremaĵo	krem'aĵ'o
kremkolora	krem'kolor'a
kremkoloraj	krem'kolor'a'j
kremokoloraj	krem'o'kolor'a'j
kremacio	kremaci'o
kremacion	kremaci'o'n
kremaciejo	kremaci'ej'o
kremla	kreml'a
kremlo	kreml'o
kreno	kren'o
kreneloj	krenel'o'j
kreola	kreol'a
kreolaj	kreol'a'j
kreolan	kreol'a'n
kreoloj	kreol'o'j
kreolino	kreol'in'o
kreolinoj	kreol'in'o'j
kreono	kreon'o
krepo	krep'o
krepuska	krepusk'a
krepuskaj	krepusk'a'j
krepuske	krepusk'e
krepusko	krepusk'o
krepuskon	krepusk'o'n
krepuskiĝis	krepusk'iĝ'is
krepuskiĝo	krepusk'iĝ'o
krescento	krescent'o
kreska	kresk'a
kreskaj	kresk'a'j
kreskan	kresk'a'n
kreskas	kresk'as
kreski	kresk'i
kreskis	kresk'is
kresko	kresk'o
kreskoj	kresk'o'j
kreskon	kresk'o'n
kreskos	kresk'os
kresku	kresk'u
kreskus	kresk'us
kreskadas	kresk'ad'as
kreskadis	kresk'ad'is
kreskado	kresk'ad'o
kreskadon	kresk'ad'o'n
kreskaĵo	kresk'aĵ'o
kreskaĵoj	kresk'aĵ'o'j
kreskaĵojn	kresk'aĵ'o'j'n
kreskaĵaro	kresk'aĵ'ar'o
kreskanta	kresk'ant'a
kreskantaj	kresk'ant'a'j
kreskantajn	kresk'ant'a'j'n
kreskantan	kresk'ant'a'n
kreskante	kresk'ant'e
kreskejo	kresk'ej'o
kreskejoj	kresk'ej'o'j
kreskfaktoroj	kresk'faktor'o'j
kreskigas	kresk'ig'as
kreskigi	kresk'ig'i
kreskigis	kresk'ig'is
kreskigo	kresk'ig'o
kreskigos	kresk'ig'os
kreskigu	kresk'ig'u
kreskigus	kresk'ig'us
kreskigado	kresk'ig'ad'o
kreskiganta	kresk'ig'ant'a
kreskigante	kresk'ig'ant'e
kreskigita	kresk'ig'it'a
kreskigitaj	kresk'ig'it'a'j
kreskigite	kresk'ig'it'e
kreskiĝas	kresk'iĝ'as
kreskiĝis	kresk'iĝ'is
kreskiĝo	kresk'iĝ'o
kreskinta	kresk'int'a
kreskintaj	kresk'int'a'j
kreskintan	kresk'int'a'n
kreskinte	kresk'int'e
kreskita	kresk'it'a
kreskitaj	kresk'it'a'j
kreskorapideco	kresk'o'rapid'ec'o
kreskorapidecoj	kresk'o'rapid'ec'o'j
kreskorapidecojn	kresk'o'rapid'ec'o'j'n
kreskorapidecon	kresk'o'rapid'ec'o'n
kresksezono	kresk'sezon'o
kreskuloj	kresk'ul'o'j
krespo	kresp'o
krespoj	kresp'o'j
krespojn	kresp'o'j'n
kresta	krest'a
kresto	krest'o
krestoj	krest'o'j
krestojn	krest'o'j'n
kreston	krest'o'n
krestomatio	krestomati'o
krestomation	krestomati'o'n
kreta	kret'a
kretaj	kret'a'j
kreto	kret'o
kreton	kret'o'n
kretano	kret'an'o
kretanoj	kret'an'o'j
kretecaj	kret'ec'a'j
kretinga	kret'ing'a
kretaceo	kretace'o
kretena	kreten'a
kreteno	kreten'o
kretenoj	kreten'o'j
kretono	kreton'o
kreuzo	kreuz'o
krevas	krev'as
krevi	krev'i
krevis	krev'is
krevo	krev'o
krevon	krev'o'n
krevos	krev'os
krevu	krev'u
krevus	krev'us
krevado	krev'ad'o
krevanta	krev'ant'a
krevante	krev'ant'e
krevigas	krev'ig'as
krevigi	krev'ig'i
krevigis	krev'ig'is
krevigado	krev'ig'ad'o
krevigante	krev'ig'ant'e
krevigita	krev'ig'it'a
krevigitaj	krev'ig'it'a'j
krevinta	krev'int'a
krevita	krev'it'a
kria	kri'a
krias	kri'as
krie	kri'e
krii	kri'i
krio	kri'o
krioj	kri'o'j
kriojn	kri'o'j'n
krion	kri'o'n
krios	kri'os
kriu	kri'u
krius	kri'us
kriaĉas	kri'aĉ'as
kriaĉi	kri'aĉ'i
kriaĉo	kri'aĉ'o
kriadi	kri'ad'i
kriadis	kri'ad'is
kriado	kri'ad'o
kriadon	kri'ad'o'n
krianta	kri'ant'a
kriantaj	kri'ant'a'j
kriantan	kri'ant'a'n
kriante	kri'ant'e
kriegas	kri'eg'as
kriegi	kri'eg'i
kriegis	kri'eg'is
kriego	kri'eg'o
kriegoj	kri'eg'o'j
kriegojn	kri'eg'o'j'n
kriegon	kri'eg'o'n
kriegado	kri'eg'ad'o
krieganta	kri'eg'ant'a
kriegante	kri'eg'ant'e
krietis	kri'et'is
kriinte	kri'int'e
krisigno	kri'sign'o
krisignon	kri'sign'o'n
kribras	kribr'as
kribri	kribr'i
kribrado	kribr'ad'o
kribrilo	kribr'il'o
kribriloj	kribr'il'o'j
kribrilon	kribr'il'o'n
kriĉis	kriĉ'is
kriĉo	kriĉ'o
krifoj	krif'o'j
kriketo	kriket'o
kriketon	kriket'o'n
kriketteamo	kriket'team'o
krilo	kril'o
krima	krim'a
krimaj	krim'a'j
krimajn	krim'a'j'n
kriman	krim'a'n
krimas	krim'as
krime	krim'e
krimis	krim'is
krimo	krim'o
krimoj	krim'o'j
krimojn	krim'o'j'n
krimon	krim'o'n
krimado	krim'ad'o
krimago	krim'ag'o
krimeco	krim'ec'o
krimecon	krim'ec'o'n
krimema	krim'em'a
krimeto	krim'et'o
krimfrekvencoj	krim'frekvenc'o'j
krimigas	krim'ig'as
kriminto	krim'int'o
krimintoj	krim'int'o'j
krimkodo	krim'kod'o
krimloko	krim'lok'o
krimmedicina	krim'medicin'a
krimmedicinaj	krim'medicin'a'j
krimpatologo	krim'patolog'o
krimprocesoj	krim'proces'o'j
krimromano	krim'roman'o
krimromanoj	krim'roman'o'j
krimromanojn	krim'roman'o'j'n
krimulo	krim'ul'o
krimuloj	krim'ul'o'j
krimulojn	krim'ul'o'j'n
krimulon	krim'ul'o'n
krimea	krime'a
krimeaj	krime'a'j
krimean	krime'a'n
krimeo	krime'o
krimeon	krime'o'n
krimetatara	krime'tatar'a
krimetataroj	krime'tatar'o'j
kriminala	kriminal'a
kriminalaj	kriminal'a'j
kriminalan	kriminal'a'n
kriminologio	kriminologi'o
kripo	krip'o
kripla	kripl'a
kriplaj	kripl'a'j
kriplan	kripl'a'n
kriple	kripl'e
kriplaĵoj	kripl'aĵ'o'j
kripleco	kripl'ec'o
kripliga	kripl'ig'a
kripligas	kripl'ig'as
kripligi	kripl'ig'i
kripligis	kripl'ig'is
kripligo	kripl'ig'o
kripligita	kripl'ig'it'a
kripligitaj	kripl'ig'it'a'j
kripligitan	kripl'ig'it'a'n
kripliĝo	kripl'iĝ'o
kripliĝoj	kripl'iĝ'o'j
kripliĝojn	kripl'iĝ'o'j'n
kripliĝon	kripl'iĝ'o'n
kriplulo	kripl'ul'o
kripluloj	kripl'ul'o'j
kriplulojn	kripl'ul'o'j'n
kripta	kript'a
kriptaj	kript'a'j
kripto	kript'o
kriptoj	kript'o'j
kripton	kript'o'n
kriptanalizo	kript'analiz'o
kriptiga	kript'ig'a
kriptigaj	kript'ig'a'j
kriptografio	kriptografi'o
krisolo	krisol'o
krispa	krisp'a
krispaj	krisp'a'j
krispajn	krisp'a'j'n
krispan	krisp'a'n
krispigas	krisp'ig'as
krispigita	krisp'ig'it'a
krista	krist'a
kristan	krist'a'n
kristo	krist'o
kriston	krist'o'n
kristana	krist'an'a
kristanaj	krist'an'a'j
kristanajn	krist'an'a'j'n
kristanan	krist'an'a'n
kristane	krist'an'e
kristano	krist'an'o
kristanoj	krist'an'o'j
kristanojn	krist'an'o'j'n
kristanon	krist'an'o'n
kristanaro	krist'an'ar'o
kristanaron	krist'an'ar'o'n
kristandemokrata	krist'an'demokrat'a
kristandemokratoj	krist'an'demokrat'o'j
kristaneco	krist'an'ec'o
kristanecon	krist'an'ec'o'n
kristanigi	krist'an'ig'i
kristanigo	krist'an'ig'o
kristanigon	krist'an'ig'o'n
kristanigitaj	krist'an'ig'it'a'j
kristaniĝis	krist'an'iĝ'is
kristaniĝo	krist'an'iĝ'o
kristanino	krist'an'in'o
kristanisma	krist'an'ism'a
kristanismaj	krist'an'ism'a'j
kristanismo	krist'an'ism'o
kristanismon	krist'an'ism'o'n
kristarbon	krist'arb'o'n
kristismo	krist'ism'o
kristnaska	krist'nask'a
kristnaskaj	krist'nask'a'j
kristnaskajn	krist'nask'a'j'n
kristnaskan	krist'nask'a'n
kristnaske	krist'nask'e
kristnasko	krist'nask'o
kristnaskon	krist'nask'o'n
kristonaska	krist'o'nask'a
kristonasko	krist'o'nask'o
kristologia	krist'olog'i'a
kristologiaj	krist'olog'i'a'j
kristologio	krist'olog'i'o
kristala	kristal'a
kristalaj	kristal'a'j
kristalajn	kristal'a'j'n
kristalan	kristal'a'n
kristale	kristal'e
kristalo	kristal'o
kristaloj	kristal'o'j
kristalojn	kristal'o'j'n
kristalon	kristal'o'n
kristalblanka	kristal'blank'a
kristaleca	kristal'ec'a
kristaligas	kristal'ig'as
kristaligi	kristal'ig'i
kristaligis	kristal'ig'is
kristaligita	kristal'ig'it'a
kristaliĝas	kristal'iĝ'as
kristaliĝis	kristal'iĝ'is
kristaliĝo	kristal'iĝ'o
kristalklara	kristal'klar'a
kristalkrado	kristal'krad'o
kristalografo	kristal'o'graf'o
kristalografio	kristal'o'graf'i'o
kristalsistemo	kristal'sistem'o
kristalstrukturo	kristal'struktur'o
kristalstrukturon	kristal'struktur'o'n
kristalineco	kristalin'ec'o
kristiano	kristian'o
kristianismo	kristian'ism'o
kristina	kristin'a
kristino	kristin'o
kristoforo	kristofor'o
kriŝna	kriŝn'a
kriŝno	kriŝn'o
kriteria	kriteri'a
kriterio	kriteri'o
kriterioj	kriteri'o'j
kriteriojn	kriteri'o'j'n
kriterion	kriteri'o'n
kritika	kritik'a
kritikaj	kritik'a'j
kritikajn	kritik'a'j'n
kritikan	kritik'a'n
kritikas	kritik'as
kritike	kritik'e
kritiki	kritik'i
kritikis	kritik'is
kritiko	kritik'o
kritikoj	kritik'o'j
kritikojn	kritik'o'j'n
kritikon	kritik'o'n
kritikos	kritik'os
kritiku	kritik'u
kritikaĉas	kritik'aĉ'as
kritikaĉi	kritik'aĉ'i
kritikado	kritik'ad'o
kritikadon	kritik'ad'o'n
kritikanta	kritik'ant'a
kritikantaj	kritik'ant'a'j
kritikante	kritik'ant'e
kritikanto	kritik'ant'o
kritikantoj	kritik'ant'o'j
kritikantojn	kritik'ant'o'j'n
kritikata	kritik'at'a
kritikataj	kritik'at'a'j
kritikema	kritik'em'a
kritikemaj	kritik'em'a'j
kritikeme	kritik'em'e
kritikemo	kritik'em'o
kritikinda	kritik'ind'a
kritikindaj	kritik'ind'a'j
kritikindan	kritik'ind'a'n
kritikismo	kritik'ism'o
kritikisto	kritik'ist'o
kritikistoj	kritik'ist'o'j
kritikistojn	kritik'ist'o'j'n
kritikiston	kritik'ist'o'n
kritikistaplaŭdo	kritik'ist'aplaŭd'o
kritikistaplaŭdon	kritik'ist'aplaŭd'o'n
kritikistaro	kritik'ist'ar'o
kritikita	kritik'it'a
kritikitaj	kritik'it'a'j
kritikuloj	kritik'ul'o'j
kriza	kriz'a
krizaj	kriz'a'j
krizajn	kriz'a'j'n
krizan	kriz'a'n
krize	kriz'e
krizo	kriz'o
krizoj	kriz'o'j
krizojn	kriz'o'j'n
krizon	kriz'o'n
krizhelpa	kriz'help'a
krizhelpaj	kriz'help'a'j
krizhelpajn	kriz'help'a'j'n
krizhelpo	kriz'help'o
krizhelpoj	kriz'help'o'j
krizhelpon	kriz'help'o'n
krizostato	kriz'o'stat'o
krizokazo	kriz'okaz'o
krizalido	krizalid'o
krizantemo	krizantem'o
krizantemoj	krizantem'o'j
kroata	kroat'a
kroataj	kroat'a'j
kroatajn	kroat'a'j'n
kroatan	kroat'a'n
kroate	kroat'e
kroato	kroat'o
kroatoj	kroat'o'j
kroatia	kroat'i'a
kroatiaj	kroat'i'a'j
kroatio	kroat'i'o
kroation	kroat'i'o'n
kroatujo	kroat'uj'o
kroĉas	kroĉ'as
kroĉi	kroĉ'i
kroĉis	kroĉ'is
kroĉiĝas	kroĉ'iĝ'as
kroĉiĝis	kroĉ'iĝ'is
kroĉiĝante	kroĉ'iĝ'ant'e
kroĉita	kroĉ'it'a
kroĉitaj	kroĉ'it'a'j
kroketo	kroket'o
krokodila	krokodil'a
krokodili	krokodil'i
krokodilo	krokodil'o
krokodiloj	krokodil'o'j
krokodilojn	krokodil'o'j'n
krokodilon	krokodil'o'n
krokodilado	krokodil'ad'o
krom	krom
kroma	krom'a
kromaj	krom'a'j
kromajn	krom'a'j'n
kroman	krom'a'n
krome	krom'e
kromo	krom'o
kromaĵo	krom'aĵ'o
kromaĵoj	krom'aĵ'o'j
kromakcento	krom'akcent'o
kromakcentoj	krom'akcent'o'j
kromalie	krom'ali'e
kromedzino	krom'edz'in'o
kromefiko	krom'efik'o
kromefikoj	krom'efik'o'j
kromefikojn	krom'efik'o'j'n
kromefikon	krom'efik'o'n
kromfakturo	krom'faktur'o
kromgusto	krom'gust'o
kromkostoj	krom'kost'o'j
kromlaboro	krom'labor'o
kromnomas	krom'nom'as
kromnomis	krom'nom'is
kromnomo	krom'nom'o
kromnomoj	krom'nom'o'j
kromnomon	krom'nom'o'n
kromnomata	krom'nom'at'a
kromnomita	krom'nom'it'a
kromprodukto	krom'produkt'o
kromproduktoj	krom'produkt'o'j
kromproduktojn	krom'produkt'o'j'n
kromprogramo	krom'program'o
kromprogramoj	krom'program'o'j
kromsignoj	krom'sign'o'j
kromvelo	krom'vel'o
kromata	kromat'a
kromataj	kromat'a'j
kromatajn	kromat'a'j'n
kromatan	kromat'a'n
kromate	kromat'e
kromatoforoj	kromatofor'o'j
kromatografio	kromatografi'o
kromio	kromi'o
kromiato	kromi'at'o
kromosoma	kromosom'a
kromosomaj	kromosom'a'j
kromosoman	kromosom'a'n
kromosomo	kromosom'o
kromosomoj	kromosom'o'j
kromosomojn	kromosom'o'j'n
kromosomon	kromosom'o'n
krona	kron'a
kronas	kron'as
kroni	kron'i
kronis	kron'is
krono	kron'o
kronoj	kron'o'j
kronojn	kron'o'j'n
kronon	kron'o'n
kronos	kron'os
kronado	kron'ad'o
kronadon	kron'ad'o'n
kronata	kron'at'a
kroniĝis	kron'iĝ'is
kronita	kron'it'a
kronitaj	kron'it'a'j
kronitan	kron'it'a'n
kronlando	kron'land'o
kronprinco	kron'princ'o
kronviruso	kron'virus'o
kronika	kronik'a
kronikaj	kronik'a'j
kronikajn	kronik'a'j'n
kronikan	kronik'a'n
kronikas	kronik'as
kronike	kronik'e
kroniko	kronik'o
kronikoj	kronik'o'j
kronikojn	kronik'o'j'n
kronikon	kronik'o'n
kronikisto	kronik'ist'o
kronikistoj	kronik'ist'o'j
kronologia	kronologi'a
kronologiaj	kronologi'a'j
kronologian	kronologi'a'n
kronologie	kronologi'e
kronologio	kronologi'o
kronologion	kronologi'o'n
kropo	krop'o
krotalo	krotal'o
krotaloj	krotal'o'j
krozas	kroz'as
krozis	kroz'is
krozado	kroz'ad'o
krozilo	kroz'il'o
krozmisiloj	kroz'misil'o'j
krozoŝipo	kroz'o'ŝip'o
krozoŝipoj	kroz'o'ŝip'o'j
krozŝipo	kroz'ŝip'o
krozŝipoj	kroz'ŝip'o'j
kruca	kruc'a
krucaj	kruc'a'j
krucan	kruc'a'n
krucas	kruc'as
kruce	kruc'e
kruci	kruc'i
krucis	kruc'is
kruco	kruc'o
krucoj	kruc'o'j
krucojn	kruc'o'j'n
krucon	kruc'o'n
krucado	kruc'ad'o
krucanta	kruc'ant'a
krucantaj	kruc'ant'a'j
krucante	kruc'ant'e
krucbabilo	kruc'babil'o
krucbredi	kruc'bred'i
krucbredado	kruc'bred'ad'o
krucdisciplina	kruc'disciplin'a
kruceto	kruc'et'o
krucforma	kruc'form'a
kruciginte	kruc'ig'int'e
krucigitaj	kruc'ig'it'a'j
kruciĝas	kruc'iĝ'as
kruciĝis	kruc'iĝ'is
kruciĝo	kruc'iĝ'o
kruciĝoj	kruc'iĝ'o'j
kruciĝantaj	kruc'iĝ'ant'a'j
kruciĝejo	kruc'iĝ'ej'o
krucinte	kruc'int'e
krucistaj	kruc'ist'a'j
krucisto	kruc'ist'o
krucistoj	kruc'ist'o'j
krucistojn	kruc'ist'o'j'n
krucita	kruc'it'a
krucitaj	kruc'it'a'j
kruckavaliroj	kruc'kavalir'o'j
krucmilito	kruc'milit'o
krucmilitoj	kruc'milit'o'j
krucmiliton	kruc'milit'o'n
krucmilitistaj	kruc'milit'ist'a'j
krucmilitistoj	kruc'milit'ist'o'j
krucosignis	kruc'o'sign'is
krucosigno	kruc'o'sign'o
krucosignon	kruc'o'sign'o'n
krucpolenado	kruc'polen'ad'o
krucumas	kruc'um'as
krucumi	kruc'um'i
krucumis	kruc'um'is
krucumo	kruc'um'o
krucumon	kruc'um'o'n
krucumado	kruc'um'ad'o
krucumita	kruc'um'it'a
krucumito	kruc'um'it'o
krucvojo	kruc'voj'o
krucvojoj	kruc'voj'o'j
krucvojon	kruc'voj'o'n
krucvortenigmo	kruc'vort'enigm'o
krucvortenigmon	kruc'vort'enigm'o'n
krucifikso	krucifiks'o
krucifiksoj	krucifiks'o'j
krucifikson	krucifiks'o'n
krucho	kruĉ'o
kruĉo	kruĉ'o
kruĉoj	kruĉ'o'j
kruĉojn	kruĉ'o'j'n
kruĉon	kruĉ'o'n
kruda	krud'a
krudaj	krud'a'j
krudajn	krud'a'j'n
krudan	krud'a'n
krude	krud'e
krudaĵo	krud'aĵ'o
krudaĵoj	krud'aĵ'o'j
krudaĵojn	krud'aĵ'o'j'n
krudaĵon	krud'aĵ'o'n
krudeco	krud'ec'o
