ia	i'a
izolitaĵo	izol'it'aĵ'o
izolitaĵoj	izol'it'aĵ'o'j
izoliteco	izol'it'ec'o
izolitecon	izol'it'ec'o'n
izolulo	izol'ul'o
izoluloj	izol'ul'o'j
izomero	izomer'o
izomeroj	izomer'o'j
izomerojn	izomer'o'j'n
izomorfaj	izomorf'a'j
izomorfio	izomorf'i'o
izoterma	izoterm'a
izotopa	izotop'a
izotopo	izotop'o
izotopoj	izotop'o'j
izotopojn	izotop'o'j'n
izotropa	izotrop'a
izotropaj	izotrop'a'j
