fabo	fab'o
forlokitaj	for'lok'it'a'j
formanĝas	for'manĝ'as
formanĝi	for'manĝ'i
formanĝis	for'manĝ'is
formanĝos	for'manĝ'os
formanĝu	for'manĝ'u
formanĝita	for'manĝ'it'a
formarŝis	for'marŝ'is
formetas	for'met'as
formeti	for'met'i
formetis	for'met'is
formetu	for'met'u
formetitaj	for'met'it'a'j
formigris	for'migr'is
formortas	for'mort'as
formorti	for'mort'i
formortis	for'mort'is
formorto	for'mort'o
formortoj	for'mort'o'j
formortojn	for'mort'o'j'n
formorton	for'mort'o'n
formortos	for'mort'os
formortado	for'mort'ad'o
formortantaj	for'mort'ant'a'j
formortinta	for'mort'int'a
formortintaj	for'mort'int'a'j
formortintajn	for'mort'int'a'j'n
formovi	for'mov'i
formovis	for'mov'is
fornaĝis	for'naĝ'is
fornavigi	for'navig'i
fornego	for'neg'o
fornegoj	for'neg'o'j
fornegon	for'neg'o'n
foroferi	for'ofer'i
foroferis	for'ofer'is
forpafiĝis	for'paf'iĝ'is
forpafiĝu	for'paf'iĝ'u
forpasas	for'pas'as
forpasi	for'pas'i
forpasis	for'pas'is
forpaso	for'pas'o
forpason	for'pas'o'n
forpasos	for'pas'os
forpasinta	for'pas'int'a
forpasintaj	for'pas'int'a'j
forpasintan	for'pas'int'a'n
forpasinto	for'pas'int'o
forpasintoj	for'pas'int'o'j
forpelas	for'pel'as
forpeli	for'pel'i
forpelis	for'pel'is
forpelo	for'pel'o
forpelon	for'pel'o'n
forpelos	for'pel'os
forpelu	for'pel'u
forpelus	for'pel'us
forpelado	for'pel'ad'o
forpelante	for'pel'ant'e
forpelataj	for'pel'at'a'j
forpelita	for'pel'it'a
forpelitaj	for'pel'it'a'j
forpelito	for'pel'it'o
forpelitoj	for'pel'it'o'j
forperdo	for'perd'o
forperdon	for'perd'o'n
forpermesis	for'permes'is
forpermeso	for'permes'o
forpermeson	for'permes'o'n
forportas	for'port'as
forporti	for'port'i
forportis	for'port'is
forportos	for'port'os
forportu	for'port'u
forportante	for'port'ant'e
forportata	for'port'at'a
forportita	for'port'it'a
forportitaj	for'port'it'a'j
forprenas	for'pren'as
forpreni	for'pren'i
forprenis	for'pren'is
forpreno	for'pren'o
forprenon	for'pren'o'n
forprenos	for'pren'os
forprenu	for'pren'u
forprenus	for'pren'us
forprenante	for'pren'ant'e
forprenebla	for'pren'ebl'a
forpreneblaj	for'pren'ebl'a'j
forpreninte	for'pren'int'e
forprenita	for'pren'it'a
forprenitaj	for'pren'it'a'j
forpuŝa	for'puŝ'a
forpuŝas	for'puŝ'as
forpuŝi	for'puŝ'i
forpuŝis	for'puŝ'is
forpuŝo	for'puŝ'o
forpuŝos	for'puŝ'os
forpuŝu	for'puŝ'u
forpuŝante	for'puŝ'ant'e
forpuŝita	for'puŝ'it'a
forpuŝitaj	for'puŝ'it'a'j
forrabas	for'rab'as
forrabi	for'rab'i
forrabis	for'rab'is
forrabo	for'rab'o
forrabita	for'rab'it'a
forrabitaj	for'rab'it'a'j
forrajdis	for'rajd'is
forrapidis	for'rapid'is
forrestis	for'rest'is
forsaltis	for'salt'is
forsendas	for'send'as
forsendi	for'send'i
forsendis	for'send'is
forsendo	for'send'o
forsendos	for'send'os
forsendu	for'send'u
forsendita	for'send'it'a
forsenditaj	for'send'it'a'j
forskui	for'sku'i
forskuis	for'sku'is
forstreki	for'strek'i
forstrekis	for'strek'is
forstreku	for'strek'u
forstrekita	for'strek'it'a
forŝanceliĝis	for'ŝancel'iĝ'is
forŝiras	for'ŝir'as
forŝiri	for'ŝir'i
forŝiris	for'ŝir'is
forŝiro	for'ŝir'o
forŝirita	for'ŝir'it'a
forŝovas	for'ŝov'as
forŝovi	for'ŝov'i
forŝovis	for'ŝov'is
forŝovita	for'ŝov'it'a
forŝtelis	for'ŝtel'is
fortenas	for'ten'as
forteni	for'ten'i
fortenu	for'ten'u
fortimiga	for'tim'ig'a
fortimigas	for'tim'ig'as
fortimigi	for'tim'ig'i
fortimigis	for'tim'ig'is
fortiras	for'tir'as
fortiri	for'tir'i
fortiris	for'tir'is
fortirita	for'tir'it'a
fortranĉas	for'tranĉ'as
fortranĉi	for'tranĉ'i
fortranĉis	for'tranĉ'is
fortranĉo	for'tranĉ'o
fortranĉu	for'tranĉ'u
fortranĉante	for'tranĉ'ant'e
fortranĉita	for'tranĉ'it'a
fortranĉitaj	for'tranĉ'it'a'j
fortrenis	for'tren'is
fortrinkis	for'trink'is
forturnas	for'turn'as
forturni	for'turn'i
forturnis	for'turn'is
forturnu	for'turn'u
forturnante	for'turn'ant'e
forturniĝis	for'turn'iĝ'is
foruzas	for'uz'as
foruzi	for'uz'i
foruzis	for'uz'is
foruzo	for'uz'o
foruzos	for'uz'os
foruzu	for'uz'u
foruzado	for'uz'ad'o
foruzante	for'uz'ant'e
foruzita	for'uz'it'a
foruzitaj	for'uz'it'a'j
forvagis	for'vag'is
forvaporiĝas	for'vapor'iĝ'as
forvaporiĝi	for'vapor'iĝ'i
forvaporiĝis	for'vapor'iĝ'is
forvaporiĝo	for'vapor'iĝ'o
forvelkas	for'velk'as
forvelki	for'velk'i
forvelkis	for'velk'is
forvelkanta	for'velk'ant'a
forvelkantaj	for'velk'ant'a'j
forvelkantan	for'velk'ant'a'n
forvendi	for'vend'i
forvendis	for'vend'is
forveturas	for'vetur'as
forveturi	for'vetur'i
forveturis	for'vetur'is
forveturo	for'vetur'o
forveturon	for'vetur'o'n
forveturos	for'vetur'os
forveturu	for'vetur'u
forveturanta	for'vetur'ant'a
forveturigi	for'vetur'ig'i
forveturigis	for'vetur'ig'is
forveturinta	for'vetur'int'a
forviŝas	for'viŝ'as
forviŝi	for'viŝ'i
forviŝis	for'viŝ'is
forviŝos	for'viŝ'os
forviŝu	for'viŝ'u
forviŝado	for'viŝ'ad'o
forviŝante	for'viŝ'ant'e
forviŝiĝis	for'viŝ'iĝ'is
forviŝita	for'viŝ'it'a
forviŝitaj	for'viŝ'it'a'j
forvojaĝas	for'vojaĝ'as
forvojaĝi	for'vojaĝ'i
forvojaĝis	for'vojaĝ'is
forvojaĝo	for'vojaĝ'o
forvojaĝos	for'vojaĝ'os
foraminiferoj	foraminifer'o'j
force	forc'e
forceja	forc'ej'a
forcejaj	forc'ej'a'j
forcejo	forc'ej'o
forcejoj	forc'ej'o'j
forcejon	forc'ej'o'n
forcejefika	forc'ej'efik'a
forcejefikaj	forc'ej'efik'a'j
forcejefikgasaj	forc'ej'efik'gas'a'j
forcejgasaj	forc'ej'gas'a'j
forcejgasajn	forc'ej'gas'a'j'n
forcepso	forceps'o
forgesas	forges'as
forgesi	forges'i
forgesis	forges'is
forgeso	forges'o
forgeson	forges'o'n
forgesos	forges'os
forgesu	forges'u
forgesus	forges'us
forgesado	forges'ad'o
forgesante	forges'ant'e
forgesata	forges'at'a
forgesebla	forges'ebl'a
forgesema	forges'em'a
forgesemaj	forges'em'a'j
forgesemo	forges'em'o
forgesigas	forges'ig'as
forgesigi	forges'ig'i
forgesigis	forges'ig'is
forgesiĝas	forges'iĝ'as
forgesiĝis	forges'iĝ'is
forgesiĝos	forges'iĝ'os
forgesinta	forges'int'a
forgesinte	forges'int'e
forgesita	forges'it'a
forgesitaj	forges'it'a'j
forgesitajn	forges'it'a'j'n
forgesitan	forges'it'a'n
forĝas	forĝ'as
forĝi	forĝ'i
forĝis	forĝ'is
forĝu	forĝ'u
forĝado	forĝ'ad'o
forĝejo	forĝ'ej'o
forĝejon	forĝ'ej'o'n
forĝista	forĝ'ist'a
forĝisto	forĝ'ist'o
forĝistoj	forĝ'ist'o'j
forĝita	forĝ'it'a
forĝitaj	forĝ'it'a'j
forko	fork'o
forkoj	fork'o'j
forkojn	fork'o'j'n
forkon	fork'o'n
forkego	fork'eg'o
forkegon	fork'eg'o'n
forketo	fork'et'o
forkiĝo	fork'iĝ'o
forkoforma	fork'o'form'a
forma	form'a
formaj	form'a'j
formajn	form'a'j'n
forman	form'a'n
formas	form'as
forme	form'e
formi	form'i
formis	form'is
formo	form'o
formoj	form'o'j
formojn	form'o'j'n
formon	form'o'n
formos	form'os
formu	form'u
formus	form'us
formado	form'ad'o
formadoj	form'ad'o'j
formadon	form'ad'o'n
formaĵo	form'aĵ'o
formaĵoj	form'aĵ'o'j
formanta	form'ant'a
formantaj	form'ant'a'j
formante	form'ant'e
formanto	form'ant'o
formata	form'at'a
formataj	form'at'a'j
formatas	form'at'as
formati	form'at'i
formato	form'at'o
formatoj	form'at'o'j
formatojn	form'at'o'j'n
formaton	form'at'o'n
formigas	form'ig'as
formigi	form'ig'i
formigis	form'ig'is
formigo	form'ig'o
formigado	form'ig'ad'o
formigita	form'ig'it'a
formiĝas	form'iĝ'as
formiĝi	form'iĝ'i
formiĝis	form'iĝ'is
formigho	form'iĝ'o
formiĝo	form'iĝ'o
formiĝoj	form'iĝ'o'j
formiĝon	form'iĝ'o'n
formiĝos	form'iĝ'os
formiĝu	form'iĝ'u
formiĝus	form'iĝ'us
formiĝado	form'iĝ'ad'o
formiĝanta	form'iĝ'ant'a
formiĝantaj	form'iĝ'ant'a'j
formiĝantan	form'iĝ'ant'a'n
formiĝante	form'iĝ'ant'e
formiĝinta	form'iĝ'int'a
formiĝintaj	form'iĝ'int'a'j
formita	form'it'a
formitaj	form'it'a'j
formitajn	form'it'a'j'n
formitan	form'it'a'n
formite	form'it'e
formtranĉita	form'tranĉ'it'a
formacio	formaci'o
formacioj	formaci'o'j
formaciojn	formaci'o'j'n
formacion	formaci'o'n
formacioprocezo	formaci'o'procez'o
formala	formal'a
formalaj	formal'a'j
formalajn	formal'a'j'n
formalan	formal'a'n
formale	formal'e
formalaĵo	formal'aĵ'o
formalaĵoj	formal'aĵ'o'j
formalaĵojn	formal'aĵ'o'j'n
formaleco	formal'ec'o
formaligas	formal'ig'as
formaligi	formal'ig'i
formaligis	formal'ig'is
formaligo	formal'ig'o
formaligita	formal'ig'it'a
formaligitaj	formal'ig'it'a'j
formalisma	formal'ism'a
formalismo	formal'ism'o
formalismoj	formal'ism'o'j
formalparolmaniera	formal'parol'manier'a
formaldehido	formaldehid'o
formata	format'a
formataj	format'a'j
formatas	format'as
formati	format'i
formato	format'o
formatoj	format'o'j
formatojn	format'o'j'n
formaton	format'o'n
formatado	format'ad'o
formatadon	format'ad'o'n
formatita	format'it'a
formatitaj	format'it'a'j
formiata	formi'at'a
formiato	formi'at'o
formika	formik'a
formiko	formik'o
formikoj	formik'o'j
formikojn	formik'o'j'n
formikon	formik'o'n
formikacido	formik'acid'o
formikejo	formik'ej'o
formula	formul'a
formulas	formul'as
formuli	formul'i
formulis	formul'is
formulo	formul'o
formuloj	formul'o'j
formulojn	formul'o'j'n
formulon	formul'o'n
formulu	formul'u
formulado	formul'ad'o
formuladoj	formul'ad'o'j
formuladon	formul'ad'o'n
formulaĵoj	formul'aĵ'o'j
formularo	formul'ar'o
formularoj	formul'ar'o'j
formularojn	formul'ar'o'j'n
formularon	formul'ar'o'n
formuliĝo	formul'iĝ'o
formuliĝoj	formul'iĝ'o'j
formuliĝon	formul'iĝ'o'n
formulita	formul'it'a
formulitaj	formul'it'a'j
forna	forn'a
forno	forn'o
fornoj	forn'o'j
fornojn	forn'o'j'n
fornon	forn'o'n
forneto	forn'et'o
fornelo	fornel'o
forsta	forst'a
forstaj	forst'a'j
forsto	forst'o
forstoj	forst'o'j
forstado	forst'ad'o
forstisto	forst'ist'o
forstistoj	forst'ist'o'j
forstokulturo	forst'o'kultur'o
forstuma	forst'um'a
forstumado	forst'um'ad'o
forta	fort'a
fortaj	fort'a'j
fortajn	fort'a'j'n
fortan	fort'a'n
fortas	fort'as
forte	fort'e
forti	fort'i
fortis	fort'is
forto	fort'o
fortoj	fort'o'j
fortojn	fort'o'j'n
forton	fort'o'n
forteco	fort'ec'o
fortecon	fort'ec'o'n
fortega	fort'eg'a
fortegaj	fort'eg'a'j
fortegajn	fort'eg'a'j'n
fortegan	fort'eg'a'n
fortege	fort'eg'e
fortego	fort'eg'o
fortegulo	fort'eg'ul'o
fortiga	fort'ig'a
fortigas	fort'ig'as
fortigi	fort'ig'i
fortigis	fort'ig'is
fortigo	fort'ig'o
fortigon	fort'ig'o'n
fortigos	fort'ig'os
fortigu	fort'ig'u
fortigus	fort'ig'us
fortigado	fort'ig'ad'o
fortiganta	fort'ig'ant'a
fortigante	fort'ig'ant'e
fortigita	fort'ig'it'a
fortigitaj	fort'ig'it'a'j
fortiĝas	fort'iĝ'as
fortiĝi	fort'iĝ'i
fortiĝis	fort'iĝ'is
fortiĝo	fort'iĝ'o
fortiĝanta	fort'iĝ'ant'a
fortokampo	fort'o'kamp'o
fortokampoj	fort'o'kamp'o'j
fortokampon	fort'o'kamp'o'n
fortoniveloj	fort'o'nivel'o'j
fortostreĉo	fort'o'streĉ'o
fortostreĉoj	fort'o'streĉ'o'j
fortostreĉojn	fort'o'streĉ'o'j'n
fortostreĉon	fort'o'streĉ'o'n
fortouzo	fort'o'uz'o
fortulo	fort'ul'o
fortuloj	fort'ul'o'j
fortulon	fort'ul'o'n
fortvektoro	fort'vektor'o
fortvento	fort'vent'o
fortvola	fort'vol'a
fortepiano	fortepian'o
fortepianon	fortepian'o'n
fortika	fortik'a
fortikaj	fortik'a'j
fortikajn	fortik'a'j'n
fortikan	fortik'a'n
fortikas	fortik'as
fortike	fortik'e
fortikaĵa	fortik'aĵ'a
fortikaĵo	fortik'aĵ'o
fortikaĵoj	fortik'aĵ'o'j
fortikaĵojn	fortik'aĵ'o'j'n
fortikaĵon	fortik'aĵ'o'n
fortikaĵeto	fortik'aĵ'et'o
fortikeco	fortik'ec'o
fortikecon	fortik'ec'o'n
fortikejo	fortik'ej'o
fortikejoj	fortik'ej'o'j
fortikejojn	fortik'ej'o'j'n
fortikigas	fortik'ig'as
fortikigi	fortik'ig'i
fortikigis	fortik'ig'is
fortikigo	fortik'ig'o
fortikigita	fortik'ig'it'a
fortikigitaj	fortik'ig'it'a'j
fortreso	fortres'o
fortreson	fortres'o'n
fortuna	fortun'a
fortune	fortun'e
fortuno	fortun'o
fortunon	fortun'o'n
foruma	forum'a
forumaj	forum'a'j
forumo	forum'o
forumoj	forum'o'j
forumojn	forum'o'j'n
forumon	forum'o'n
forumano	forum'an'o
forumanoj	forum'an'o'j
forumanojn	forum'an'o'j'n
forumparto	forum'part'o
fosas	fos'as
fosi	fos'i
fosis	fos'is
foso	fos'o
foson	fos'o'n
fosos	fos'os
fosu	fos'u
fosadis	fos'ad'is
fosado	fos'ad'o
fosadoj	fos'ad'o'j
fosadon	fos'ad'o'n
fosajho	fos'aĵ'o
fosaĵo	fos'aĵ'o
fosaĵoj	fos'aĵ'o'j
fosaĵojn	fos'aĵ'o'j'n
fosaĵon	fos'aĵ'o'n
fosante	fos'ant'e
fosilo	fos'il'o
fosiloj	fos'il'o'j
fosilon	fos'il'o'n
fosita	fos'it'a
fositaj	fos'it'a'j
fosfatoj	fosf'at'o'j
fosfito	fosf'it'o
fosfolipidoj	fosf'o'lipid'o'j
fosfata	fosfat'a
fosfato	fosfat'o
fosfino	fosfin'o
fosfora	fosfor'a
fosforaj	fosfor'a'j
fosforo	fosfor'o
fosforon	fosfor'o'n
fosforacido	fosfor'acid'o
fosforiligo	fosfor'il'ig'o
fosforeska	fosforesk'a
fosgeno	fosgen'o
fosilia	fosili'a
fosiliaj	fosili'a'j
fosiliajn	fosili'a'j'n
fosilian	fosili'a'n
fosilio	fosili'o
fosilioj	fosili'o'j
fosiliojn	fosili'o'j'n
fosilion	fosili'o'n
fosilifuela	fosili'fuel'a
fosilifuelaj	fosili'fuel'a'j
fosiliigita	fosili'ig'it'a
fosiliigitaj	fosili'ig'it'a'j
fosiliindico	fosili'indic'o
fosiliindikoj	fosili'indik'o'j
fosto	fost'o
fostoj	fost'o'j
fostojn	fost'o'j'n
foston	fost'o'n
fota	fot'a
fotaj	fot'a'j
fotajn	fot'a'j'n
fotan	fot'a'n
fotas	fot'as
fote	fot'e
foti	fot'i
fotis	fot'is
foto	fot'o
fotoj	fot'o'j
fotojn	fot'o'j'n
foton	fot'o'n
fotos	fot'os
fotu	fot'u
fotado	fot'ad'o
fotadon	fot'ad'o'n
fotaĵo	fot'aĵ'o
fotaĵoj	fot'aĵ'o'j
fotaĵojn	fot'aĵ'o'j'n
fotaĵon	fot'aĵ'o'n
fotarto	fot'art'o
fotarton	fot'art'o'n
fotiĝis	fot'iĝ'is
fotila	fot'il'a
fotilo	fot'il'o
fotiloj	fot'il'o'j
fotilojn	fot'il'o'j'n
fotilon	fot'il'o'n
fotisto	fot'ist'o
fotistoj	fot'ist'o'j
fotiston	fot'ist'o'n
fotita	fot'it'a
fotitaj	fot'it'a'j
fotoalbumon	fot'o'album'o'n
fotoaparato	fot'o'aparat'o
fotoaparaton	fot'o'aparat'o'n
fotoekspozicion	fot'o'ekspozici'o'n
fotokonkurso	fot'o'konkurs'o
fotokopio	fot'o'kopi'o
fotokopion	fot'o'kopi'o'n
fotokopiilo	fot'o'kopi'il'o
fotokopiiloj	fot'o'kopi'il'o'j
fotolitografio	fot'o'litografi'o
fotomodelo	fot'o'model'o
fotomodeloj	fot'o'model'o'j
fotelo	fotel'o
foteloj	fotel'o'j
fotelojn	fotel'o'j'n
fotelon	fotel'o'n
fotoelektra	fotoelektr'a
fotografa	fotograf'a
fotografi	fotograf'i
fotografis	fotograf'is
fotografo	fotograf'o
fotografado	fotograf'ad'o
fotografaĵo	fotograf'aĵ'o
fotografaĵoj	fotograf'aĵ'o'j
fotografaĵojn	fotograf'aĵ'o'j'n
fotografaĵon	fotograf'aĵ'o'n
fotografia	fotograf'i'a
fotografiaj	fotograf'i'a'j
fotografiajn	fotograf'i'a'j'n
fotografian	fotograf'i'a'n
fotografio	fotograf'i'o
fotografioj	fotograf'i'o'j
fotografion	fotograf'i'o'n
fotografilo	fotograf'il'o
fotografilon	fotograf'il'o'n
fotografisto	fotograf'ist'o
fotokatodo	fotokatod'o
fotokemia	fotokemi'a
fotometrio	fotometr'i'o
fotona	foton'a
fotonaj	foton'a'j
fotono	foton'o
fotonoj	foton'o'j
fotonojn	foton'o'j'n
fotonon	foton'o'n
fotosinteza	fotosintez'a
fotosintezaj	fotosintez'a'j
fotosintezo	fotosintez'o
fotosintezon	fotosintez'o'n
fototropismo	fototropism'o
fotovoltaeca	fotovolta'ec'a
fotovoltaecaj	fotovolta'ec'a'j
fotovoltaecan	fotovolta'ec'a'n
fraĉjo	fraĉj'o
fraga	frag'a
fragan	frag'a'n
frago	frag'o
fragoj	frag'o'j
fragojn	frag'o'j'n
fragon	frag'o'n
fragujoj	frag'uj'o'j
fragila	fragil'a
fragilaj	fragil'a'j
fragilan	fragil'a'n
fragmenta	fragment'a
fragmentaj	fragment'a'j
fragmentajn	fragment'a'j'n
fragmentan	fragment'a'n
fragmente	fragment'e
fragmento	fragment'o
fragmentoj	fragment'o'j
fragmentojn	fragment'o'j'n
fragmenton	fragment'o'n
fragmentado	fragment'ad'o
fragmentigita	fragment'ig'it'a
fragmentiĝis	fragment'iĝ'is
fragmentiĝo	fragment'iĝ'o
fragmentiĝon	fragment'iĝ'o'n
fragmito	fragmit'o
fragmitoj	fragmit'o'j
frajo	fraj'o
frajon	fraj'o'n
frajto	frajt'o
frajton	frajt'o'n
frako	frak'o
frakoj	frak'o'j
frakasas	frakas'as
frakasi	frakas'i
frakasis	frakas'is
frakaso	frakas'o
frakasos	frakas'os
frakasu	frakas'u
frakasado	frakas'ad'o
frakasante	frakas'ant'e
frakasiĝis	frakas'iĝ'is
frakasiĝo	frakas'iĝ'o
frakasiĝos	frakas'iĝ'os
frakasita	frakas'it'a
frakasitaj	frakas'it'a'j
frakcia	frakci'a
frakcio	frakci'o
frakcioj	frakci'o'j
frakciojn	frakci'o'j'n
frakcion	frakci'o'n
frakcieca	frakci'ec'a
frakciecaj	frakci'ec'a'j
frakseno	fraksen'o
fraksenoj	fraksen'o'j
frakturo	fraktur'o
frakturoj	fraktur'o'j
frakturojn	fraktur'o'j'n
frakturon	fraktur'o'n
frama	fram'a
frame	fram'e
framo	fram'o
framoj	fram'o'j
framon	fram'o'n
framfrekvenco	fram'frekvenc'o
framasona	framason'a
framasonaj	framason'a'j
framasono	framason'o
framasonoj	framason'o'j
framasonismo	framason'ism'o
framban	framb'a'n
frambo	framb'o
framboj	framb'o'j
frambojn	framb'o'j'n
frambujoj	framb'uj'o'j
franca	franc'a
francaj	franc'a'j
francajn	franc'a'j'n
francan	franc'a'n
france	franc'e
francen	franc'e'n
franco	franc'o
francoj	franc'o'j
francojn	franc'o'j'n
francon	franc'o'n
francanoj	franc'an'o'j
francangla	franc'angl'a
francdevena	franc'de'ven'a
francgermana	franc'german'a
francia	franc'i'a
franciaj	franc'i'a'j
francio	franc'i'o
francion	franc'i'o'n
francigo	franc'ig'o
francine	franc'in'e
francino	franc'in'o
franclando	franc'land'o
franclingva	franc'lingv'a
franclingvaj	franc'lingv'a'j
franclingvajn	franc'lingv'a'j'n
franclingvan	franc'lingv'a'n
franclingve	franc'lingv'e
franclingvano	franc'lingv'an'o
franclingvanoj	franc'lingv'an'o'j
franclingvio	franc'lingv'i'o
francparolanta	franc'parol'ant'a
francparolanto	franc'parol'ant'o
francparolantoj	franc'parol'ant'o'j
francuja	franc'uj'a
francujo	franc'uj'o
francujon	franc'uj'o'n
franculoj	franc'ul'o'j
franciska	francisk'a
francisko	francisk'o
franciskon	francisk'o'n
franciskana	francisk'an'a
franciskanaj	francisk'an'a'j
franciskano	francisk'an'o
franciskanoj	francisk'an'o'j
franda	frand'a
frandas	frand'as
frandi	frand'i
frandu	frand'u
frandaĵo	frand'aĵ'o
frandaĵoj	frand'aĵ'o'j
frandaĵojn	frand'aĵ'o'j'n
frandaĵon	frand'aĵ'o'n
frandema	frand'em'a
frandemuloj	frand'em'ul'o'j
franĝo	franĝ'o
franĝoj	franĝ'o'j
franĝojn	franĝ'o'j'n
franka	frank'a
frankaj	frank'a'j
frankan	frank'a'n
franko	frank'o
frankoj	frank'o'j
frankojn	frank'o'j'n
frankon	frank'o'n
frankisma	frank'ism'a
frankismo	frank'ism'o
frankfurta	frankfurt'a
frankfurto	frankfurt'o
frankolino	frankolin'o
frankonia	frankoni'a
frankonio	frankoni'o
frapa	frap'a
frapaj	frap'a'j
frapajn	frap'a'j'n
frapan	frap'a'n
frapas	frap'as
frape	frap'e
frapi	frap'i
frapis	frap'is
frapo	frap'o
frapoj	frap'o'j
frapojn	frap'o'j'n
frapon	frap'o'n
frapos	frap'os
frapu	frap'u
frapus	frap'us
frapadis	frap'ad'is
frapado	frap'ad'o
frapadon	frap'ad'o'n
frapanta	frap'ant'a
frapantaj	frap'ant'a'j
frapante	frap'ant'e
frapata	frap'at'a
frapegis	frap'eg'is
frapetas	frap'et'as
frapeti	frap'et'i
frapetis	frap'et'is
frapeto	frap'et'o
frapetoj	frap'et'o'j
frapeton	frap'et'o'n
frapetado	frap'et'ad'o
frapetante	frap'et'ant'e
frapetita	frap'et'it'a
frapfermis	frap'ferm'is
frapfrazo	frap'fraz'o
frapiĝis	frap'iĝ'is
frapilo	frap'il'o
frapiloj	frap'il'o'j
frapinstrumento	frap'instrument'o
frapinstrumentoj	frap'instrument'o'j
frapinstrumentaro	frap'instrument'ar'o
frapinstrumentaroj	frap'instrument'ar'o'j
frapinstrumentisto	frap'instrument'ist'o
frapinstrumentistoj	frap'instrument'ist'o'j
frapinta	frap'int'a
frapinte	frap'int'e
frapita	frap'it'a
frapitaj	frap'it'a'j
frapite	frap'it'e
fraptitoloj	frap'titol'o'j
fraptitolojn	frap'titol'o'j'n
frata	frat'a
frataj	frat'a'j
fratajn	frat'a'j'n
fratan	frat'a'n
frate	frat'e
frato	frat'o
fratoj	frat'o'j
fratojn	frat'o'j'n
fraton	frat'o'n
frataro	frat'ar'o
frataroj	frat'ar'o'j
frataron	frat'ar'o'n
frateca	frat'ec'a
fratecaj	frat'ec'a'j
fratecan	frat'ec'a'n
fratece	frat'ec'e
frateco	frat'ec'o
fratecoj	frat'ec'o'j
fratecon	frat'ec'o'n
frateto	frat'et'o
frateton	frat'et'o'n
fratiĝo	frat'iĝ'o
fratina	frat'in'a
fratino	frat'in'o
fratinoj	frat'in'o'j
fratinojn	frat'in'o'j'n
fratinon	frat'in'o'n
fratinaro	frat'in'ar'o
fratinaroj	frat'in'ar'o'j
fratineto	frat'in'et'o
fratinetoj	frat'in'et'o'j
fratineton	frat'in'et'o'n
fratulo	frat'ul'o
fratuloj	frat'ul'o'j
fratulino	frat'ul'in'o
fratulinoj	frat'ul'in'o'j
fraŭda	fraŭd'a
fraŭdaj	fraŭd'a'j
fraŭdan	fraŭd'a'n
fraŭdo	fraŭd'o
fraŭdoj	fraŭd'o'j
fraŭdojn	fraŭd'o'j'n
fraŭdon	fraŭd'o'n
fraŭdulo	fraŭd'ul'o
fraŭla	fraŭl'a
fraŭlaj	fraŭl'a'j
fraŭlo	fraŭl'o
fraŭloj	fraŭl'o'j
fraŭlon	fraŭl'o'n
fraŭleco	fraŭl'ec'o
fraŭlecon	fraŭl'ec'o'n
fraŭlina	fraŭl'in'a
fraŭlino	fraŭl'in'o
fraŭlinoj	fraŭl'in'o'j
fraŭlinojn	fraŭl'in'o'j'n
fraŭlinon	fraŭl'in'o'n
fraza	fraz'a
frazaj	fraz'a'j
frazan	fraz'a'n
frazo	fraz'o
frazoj	fraz'o'j
frazojn	fraz'o'j'n
frazon	fraz'o'n
frazaro	fraz'ar'o
frazaron	fraz'ar'o'n
frazaranĝo	fraz'aranĝ'o
frazelemento	fraz'element'o
frazelementoj	fraz'element'o'j
frazenkondukilo	fraz'en'konduk'il'o
frazero	fraz'er'o
frazeroj	fraz'er'o'j
frazeto	fraz'et'o
frazetoj	fraz'et'o'j
frazetvorto	fraz'et'vort'o
frazetvortoj	fraz'et'vort'o'j
frazkomence	fraz'komenc'e
frazkonstruo	fraz'konstru'o
frazkonstruon	fraz'konstru'o'n
frazostrukturo	fraz'o'struktur'o
frazostrukturgramatikoj	fraz'o'struktur'gramatik'o'j
frazparto	fraz'part'o
frazpartoj	fraz'part'o'j
frazpartojn	fraz'part'o'j'n
frazparton	fraz'part'o'n
frazrolo	fraz'rol'o
frazroloj	fraz'rol'o'j
frazrolojn	fraz'rol'o'j'n
frazrolon	fraz'rol'o'n
frazeologio	frazeologi'o
frederiko	frederik'o
fregato	fregat'o
fregatoj	fregat'o'j
frekvenca	frekvenc'a
frekvencaj	frekvenc'a'j
frekvenco	frekvenc'o
frekvencoj	frekvenc'o'j
frekvencojn	frekvenc'o'j'n
frekvencon	frekvenc'o'n
frekvencbendo	frekvenc'bend'o
frekvencbendoj	frekvenc'bend'o'j
frekvencintervalo	frekvenc'interval'o
frekvencmodulado	frekvenc'modul'ad'o
frekvencrespondado	frekvenc'respond'ad'o
frekventas	frekvent'as
frekventi	frekvent'i
frekventis	frekvent'is
frekventado	frekvent'ad'o
frekventata	frekvent'at'a
fremda	fremd'a
fremdaj	fremd'a'j
fremdajn	fremd'a'j'n
fremdan	fremd'a'n
fremdas	fremd'as
fremde	fremd'e
fremdaĵoj	fremd'aĵ'o'j
fremdeco	fremd'ec'o
fremdigas	fremd'ig'as
fremdigi	fremd'ig'i
fremdigis	fremd'ig'is
fremdigita	fremd'ig'it'a
fremdigitaj	fremd'ig'it'a'j
fremdiĝis	fremd'iĝ'is
fremdiĝo	fremd'iĝ'o
fremdiĝon	fremd'iĝ'o'n
fremdlanda	fremd'land'a
fremdlandaj	fremd'land'a'j
fremdlandajn	fremd'land'a'j'n
fremdlandan	fremd'land'a'n
fremdlando	fremd'land'o
fremdlandano	fremd'land'an'o
fremdlandanoj	fremd'land'an'o'j
