vada	vad'a
volitaj	vol'it'a'j
volonta	vol'ont'a
volontaj	vol'ont'a'j
volontan	vol'ont'a'n
volontas	vol'ont'as
volonte	vol'ont'e
volonti	vol'ont'i
volontis	vol'ont'is
volapuka	volapuk'a
volapukan	volapuk'a'n
volapuko	volapuk'o
volapukon	volapuk'o'n
volapukaĵo	volapuk'aĵ'o
volapukisto	volapuk'ist'o
volapukistoj	volapuk'ist'o'j
volatila	volatil'a
volatilaj	volatil'a'j
volatilajn	volatil'a'j'n
volatilan	volatil'a'n
volatileco	volatil'ec'o
volba	volb'a
volbaj	volb'a'j
volbis	volb'is
volbo	volb'o
volboj	volb'o'j
volbojn	volb'o'j'n
volbon	volb'o'n
volbita	volb'it'a
volbitaj	volb'it'a'j
volejbala	volejbal'a
volframo	volfram'o
volga	volg'a
volgo	volg'o
volitivo	volitiv'o
volonta	volont'a
volontaj	volont'a'j
volontan	volont'a'n
volontas	volont'as
volonte	volont'e
volonti	volont'i
volontis	volont'is
volontado	volont'ad'o
volontege	volont'eg'e
volontula	volont'ul'a
volontulaj	volont'ul'a'j
volontulajn	volont'ul'a'j'n
volontulan	volont'ul'a'n
volontulas	volont'ul'as
volontule	volont'ul'e
volontuli	volont'ul'i
volontulis	volont'ul'is
volontulo	volont'ul'o
volontuloj	volont'ul'o'j
volontulojn	volont'ul'o'j'n
volontulon	volont'ul'o'n
volontulado	volont'ul'ad'o
volontularo	volont'ul'ar'o
volontulino	volont'ul'in'o
volta	volt'a
volto	volt'o
voltoj	volt'o'j
voltao	volta'o
voltero	volter'o
voltmetro	voltmetr'o
volume	volum'e
volumo	volum'o
volumoj	volum'o'j
volumojn	volum'o'j'n
volumon	volum'o'n
volumeto	volum'et'o
volumena	volumen'a
volumenaj	volumen'a'j
volumeno	volumen'o
volumenoj	volumen'o'j
volumenon	volumen'o'n
volupta	volupt'a
volupte	volupt'e
volupto	volupt'o
voluptoj	volupt'o'j
volupton	volupt'o'n
voluptema	volupt'em'a
voluptemaj	volupt'em'a'j
volvas	volv'as
volvi	volv'i
volvis	volv'is
volvo	volv'o
volvado	volv'ad'o
volvaĵo	volv'aĵ'o
volvaĵoj	volv'aĵ'o'j
volvaĵojn	volv'aĵ'o'j'n
volvaĵon	volv'aĵ'o'n
volvanta	volv'ant'a
volviĝas	volv'iĝ'as
volviĝis	volv'iĝ'is
volvita	volv'it'a
volvitaj	volv'it'a'j
volvitan	volv'it'a'n
volvlibro	volv'libr'o
volvlibroj	volv'libr'o'j
vomas	vom'as
vomi	vom'i
vomis	vom'is
vomado	vom'ad'o
vomadon	vom'ad'o'n
vomaĵo	vom'aĵ'o
vomemo	vom'em'o
vomemon	vom'em'o'n
voras	vor'as
vori	vor'i
voris	vor'is
vorado	vor'ad'o
vorante	vor'ant'e
voregas	vor'eg'as
vorema	vor'em'a
vorta	vort'a
vortaj	vort'a'j
vortajn	vort'a'j'n
vortan	vort'a'n
vorte	vort'e
vorto	vort'o
vortoj	vort'o'j
vortojn	vort'o'j'n
vorton	vort'o'n
vortara	vort'ar'a
vortaraj	vort'ar'a'j
vortaro	vort'ar'o
vortaroj	vort'ar'o'j
vortarojn	vort'ar'o'j'n
vortaron	vort'ar'o'n
vortarego	vort'ar'eg'o
vortareto	vort'ar'et'o
vortareton	vort'ar'et'o'n
vortaristo	vort'ar'ist'o
vortaristoj	vort'ar'ist'o'j
vorteco	vort'ec'o
vortelekto	vort'elekt'o
vortelementoj	vort'element'o'j
vortero	vort'er'o
vorteroj	vort'er'o'j
vorteto	vort'et'o
vortetoj	vort'et'o'j
vortetojn	vort'et'o'j'n
vorteton	vort'et'o'n
vortfaraj	vort'far'a'j
vortfarada	vort'far'ad'a
vortfaradaj	vort'far'ad'a'j
vortfaradajn	vort'far'ad'a'j'n
vortfaradan	vort'far'ad'a'n
vortfarade	vort'far'ad'e
vortfarado	vort'far'ad'o
vortfaradon	vort'far'ad'o'n
vortfina	vort'fin'a
vortfinaj	vort'fin'a'j
vortfinfine	vort'fin'fin'e
vortformo	vort'form'o
vortgrupo	vort'grup'o
vortgrupoj	vort'grup'o'j
vortigas	vort'ig'as
vortigi	vort'ig'i
vortigis	vort'ig'is
vortigo	vort'ig'o
vortigoj	vort'ig'o'j
vortigon	vort'ig'o'n
vortigita	vort'ig'it'a
vortigitaj	vort'ig'it'a'j
vortinicialo	vort'inicial'o
vortklasaj	vort'klas'a'j
vortklase	vort'klas'e
vortklaso	vort'klas'o
vortklasoj	vort'klas'o'j
vortklasojn	vort'klas'o'j'n
vortkombino	vort'kombin'o
vortkomenca	vort'komenc'a
vortlisto	vort'list'o
vortlistoj	vort'list'o'j
vortlistojn	vort'list'o'j'n
vortliston	vort'list'o'n
vortludo	vort'lud'o
vortludoj	vort'lud'o'j
vortludojn	vort'lud'o'j'n
vortludon	vort'lud'o'n
vortoprovizo	vort'o'proviz'o
vortostoko	vort'o'stok'o
vortostokon	vort'o'stok'o'n
vortotrezoro	vort'o'trezor'o
vortotrezoron	vort'o'trezor'o'n
vortorda	vort'ord'a
vortordo	vort'ord'o
vortordoj	vort'ord'o'j
vortordon	vort'ord'o'n
vortprovizo	vort'proviz'o
vortprovizoj	vort'proviz'o'j
vortprovizojn	vort'proviz'o'j'n
vortprovizon	vort'proviz'o'n
vortradiko	vort'radik'o
vortradikoj	vort'radik'o'j
vortsignifo	vort'signif'o
vorttrezoro	vort'trezor'o
vorttrezoron	vort'trezor'o'n
vortumas	vort'um'as
vortumi	vort'um'i
vortumis	vort'um'is
vortumo	vort'um'o
vortumoj	vort'um'o'j
vortumon	vort'um'o'n
vortumado	vort'um'ad'o
vortumita	vort'um'it'a
vortuzo	vort'uz'o
vortuzado	vort'uz'ad'o
vortico	vortic'o
vorticoj	vortic'o'j
vorticon	vortic'o'n
vosta	vost'a
vostaj	vost'a'j
vosto	vost'o
vostoj	vost'o'j
vostojn	vost'o'j'n
voston	vost'o'n
vostebeno	vost'eben'o
vosteto	vost'et'o
vostgaso	vost'gas'o
vostobazo	vost'o'baz'o
vostokovriloj	vost'o'kovr'il'o'j
vostopinto	vost'o'pint'o
vostoplumoj	vost'o'plum'o'j
vostoplumojn	vost'o'plum'o'j'n
vota	vot'a
votas	vot'as
votis	vot'is
voto	vot'o
votoj	vot'o'j
votojn	vot'o'j'n
voton	vot'o'n
vrako	vrak'o
vrakoj	vrak'o'j
vrakon	vrak'o'n
vrakita	vrak'it'a
vualas	vual'as
vuali	vual'i
vualis	vual'is
vualo	vual'o
vualoj	vual'o'j
vualojn	vual'o'j'n
vualon	vual'o'n
vualado	vual'ad'o
vualita	vual'it'a
vualitaj	vual'it'a'j
vulgara	vulgar'a
vulgaraj	vulgar'a'j
vulgarajn	vulgar'a'j'n
vulgaran	vulgar'a'n
vulgare	vulgar'e
vulgareco	vulgar'ec'o
vulgato	vulgat'o
vulkana	vulkan'a
vulkanaj	vulkan'a'j
vulkanajn	vulkan'a'j'n
vulkanan	vulkan'a'n
vulkano	vulkan'o
vulkanoj	vulkan'o'j
vulkanojn	vulkan'o'j'n
vulkanon	vulkan'o'n
vulkanismo	vulkan'ism'o
vulpa	vulp'a
vulpo	vulp'o
vulpoj	vulp'o'j
vulpojn	vulp'o'j'n
vulpon	vulp'o'n
vulpino	vulp'in'o
vulturo	vultur'o
vulturoj	vultur'o'j
vulva	vulv'a
vulvaj	vulv'a'j
vulvo	vulv'o
vunda	vund'a
vundan	vund'a'n
vundas	vund'as
vundi	vund'i
vundis	vund'is
vundo	vund'o
vundoj	vund'o'j
vundojn	vund'o'j'n
vundon	vund'o'n
vundos	vund'os
vundu	vund'u
vundus	vund'us
vundado	vund'ad'o
vundante	vund'ant'e
vundebla	vund'ebl'a
vundeblaj	vund'ebl'a'j
vundeblajn	vund'ebl'a'j'n
vundeblan	vund'ebl'a'n
vundebleco	vund'ebl'ec'o
vundeblecoj	vund'ebl'ec'o'j
vundeblecojn	vund'ebl'ec'o'j'n
vundeblecon	vund'ebl'ec'o'n
vundeto	vund'et'o
vundetoj	vund'et'o'j
vundetojn	vund'et'o'j'n
vundiĝas	vund'iĝ'as
vundiĝi	vund'iĝ'i
vundiĝis	vund'iĝ'is
vundiĝo	vund'iĝ'o
vundiĝoj	vund'iĝ'o'j
vundiĝojn	vund'iĝ'o'j'n
vundiĝon	vund'iĝ'o'n
vundiĝu	vund'iĝ'u
vundita	vund'it'a
vunditaj	vund'it'a'j
vunditajn	vund'it'a'j'n
vunditan	vund'it'a'n
vundite	vund'it'e
vundito	vund'it'o
vunditoj	vund'it'o'j
vunditojn	vund'it'o'j'n
vunditon	vund'it'o'n
