avorta	a'vort'a
aŭtomatigi	aŭtomat'ig'i
aŭtomatigis	aŭtomat'ig'is
aŭtomatigo	aŭtomat'ig'o
aŭtomatigon	aŭtomat'ig'o'n
aŭtomatigita	aŭtomat'ig'it'a
aŭtomatigitaj	aŭtomat'ig'it'a'j
aŭtomatigitajn	aŭtomat'ig'it'a'j'n
aŭtomatigitan	aŭtomat'ig'it'a'n
aŭtomatismo	aŭtomat'ism'o
aŭtomobila	aŭtomobil'a
aŭtomobilaj	aŭtomobil'a'j
aŭtomobilan	aŭtomobil'a'n
aŭtomobile	aŭtomobil'e
aŭtomobilo	aŭtomobil'o
aŭtomobiloj	aŭtomobil'o'j
aŭtomobilojn	aŭtomobil'o'j'n
aŭtomobilon	aŭtomobil'o'n
aŭtomobilisto	aŭtomobil'ist'o
aŭtomobilistoj	aŭtomobil'ist'o'j
aŭtonoma	aŭtonom'a
aŭtonomaj	aŭtonom'a'j
aŭtonomajn	aŭtonom'a'j'n
aŭtonoman	aŭtonom'a'n
aŭtonome	aŭtonom'e
aŭtonomeco	aŭtonom'ec'o
aŭtonomecon	aŭtonom'ec'o'n
aŭtonomia	aŭtonom'i'a
aŭtonomiaj	aŭtonom'i'a'j
aŭtonomian	aŭtonom'i'a'n
aŭtonomio	aŭtonom'i'o
aŭtonomion	aŭtonom'i'o'n
aŭtora	aŭtor'a
aŭtoraj	aŭtor'a'j
aŭtorajn	aŭtor'a'j'n
aŭtoran	aŭtor'a'n
aŭtoris	aŭtor'is
autoro	aŭtor'o
aŭtoro	aŭtor'o
autoroj	aŭtor'o'j
aŭtoroj	aŭtor'o'j
aŭtorojn	aŭtor'o'j'n
autoron	aŭtor'o'n
aŭtoron	aŭtor'o'n
aŭtoreco	aŭtor'ec'o
aŭtorecon	aŭtor'ec'o'n
aŭtorino	aŭtor'in'o
aŭtorrajta	aŭtor'rajt'a
aŭtorrajto	aŭtor'rajt'o
aŭtorrajtoj	aŭtor'rajt'o'j
aŭtorrajtojn	aŭtor'rajt'o'j'n
aŭtoritata	aŭtoritat'a
aŭtoritataj	aŭtoritat'a'j
aŭtoritatajn	aŭtoritat'a'j'n
aŭtoritatan	aŭtoritat'a'n
aŭtoritatas	aŭtoritat'as
aŭtoritate	aŭtoritat'e
autoritato	aŭtoritat'o
aŭtoritato	aŭtoritat'o
autoritatoj	aŭtoritat'o'j
aŭtoritatoj	aŭtoritat'o'j
aŭtoritatojn	aŭtoritat'o'j'n
autoritaton	aŭtoritat'o'n
aŭtoritaton	aŭtoritat'o'n
aŭtoritateco	aŭtoritat'ec'o
aŭtoritatecon	aŭtoritat'ec'o'n
aŭtoritatema	aŭtoritat'em'a
aŭtoritatemaj	aŭtoritat'em'a'j
aŭtoritatemo	aŭtoritat'em'o
aŭtoritatisma	aŭtoritat'ism'a
aŭtoritatismo	aŭtoritat'ism'o
aŭtoritatulo	aŭtoritat'ul'o
autoritatuloj	aŭtoritat'ul'o'j
aŭtoritatuloj	aŭtoritat'ul'o'j
aŭtoritatulojn	aŭtoritat'ul'o'j'n
autuna	aŭtun'a
aŭtuna	aŭtun'a
aŭtunaj	aŭtun'a'j
aŭtunan	aŭtun'a'n
autune	aŭtun'e
aŭtune	aŭtun'e
autuno	aŭtun'o
aŭtuno	aŭtun'o
aŭtunoj	aŭtun'o'j
aŭtunon	aŭtun'o'n
aŭtunmeza	aŭtun'mez'a
aŭvernjo	aŭvernj'o
ava	av'a
ave	av'e
avo	av'o
avoj	av'o'j
avon	av'o'n
aveto	av'et'o
avino	av'in'o
avinoj	av'in'o'j
avinon	av'in'o'n
avineto	av'in'et'o
avalokiteŝvaro	avalokiteŝvar'o
avangarda	avan'gard'a
avangardaj	avan'gard'a'j
avangardajn	avan'gard'a'j'n
avangardan	avan'gard'a'n
avangardo	avan'gard'o
avangardoj	avan'gard'o'j
avangardon	avan'gard'o'n
avanulo	avan'ul'o
avancas	avanc'as
avanci	avanc'i
avancis	avanc'is
avanco	avanc'o
avancon	avanc'o'n
avancus	avanc'us
avancado	avanc'ad'o
avancadon	avanc'ad'o'n
avancanta	avanc'ant'a
avancante	avanc'ant'e
avancita	avanc'it'a
avancitaj	avanc'it'a'j
avanculo	avanc'ul'o
avanculon	avanc'ul'o'n
avantaĝa	avantaĝ'a
avantaĝaj	avantaĝ'a'j
avantaĝan	avantaĝ'a'n
avantaĝas	avantaĝ'as
avantaĝe	avantaĝ'e
avantagho	avantaĝ'o
avantaĝo	avantaĝ'o
avantaĝoj	avantaĝ'o'j
avantaĝojn	avantaĝ'o'j'n
avantaĝon	avantaĝ'o'n
avantaĝinterŝanĝo	avantaĝ'inter'ŝanĝ'o
avantaĝinterŝanĝoj	avantaĝ'inter'ŝanĝ'o'j
avantaĝinterŝanĝojn	avantaĝ'inter'ŝanĝ'o'j'n
avantaĝinterŝanĝon	avantaĝ'inter'ŝanĝ'o'n
avara	avar'a
avaraj	avar'a'j
avaras	avar'as
avare	avar'e
avaris	avar'is
avaro	avar'o
avaroj	avar'o'j
avareco	avar'ec'o
avarulo	avar'ul'o
avaruloj	avar'ul'o'j
avataro	avatar'o
avataroj	avatar'o'j
avatarojn	avatar'o'j'n
avataron	avatar'o'n
avĉjo	avĉj'o
avelo	avel'o
aveloj	avel'o'j
avelojn	avel'o'j'n
aveno	aven'o
avenon	aven'o'n
aventura	aventur'a
aventuraj	aventur'a'j
aventuran	aventur'a'n
aventuro	aventur'o
aventuroj	aventur'o'j
aventurojn	aventur'o'j'n
aventuron	aventur'o'n
aventurantoj	aventur'ant'o'j
aventurema	aventur'em'a
aventuremaj	aventur'em'a'j
aventuremo	aventur'em'o
aventuristo	aventur'ist'o
aventuristoj	aventur'ist'o'j
aventurludoj	aventur'lud'o'j
aventurulo	aventur'ul'o
avenue	avenu'e
avenuo	avenu'o
avenuoj	avenu'o'j
avenuojn	avenu'o'j'n
avenuon	avenu'o'n
averagha	averaĝ'a
averaĝa	averaĝ'a
averaĝaj	averaĝ'a'j
averaĝan	averaĝ'a'n
averaĝas	averaĝ'as
averaĝe	averaĝ'e
averaĝi	averaĝ'i
averaĝis	averaĝ'is
averaĝo	averaĝ'o
averaĝado	averaĝ'ad'o
averaĝita	averaĝ'it'a
averaĝitaj	averaĝ'it'a'j
averio	averi'o
averso	avers'o
averta	avert'a
avertaj	avert'a'j
avertan	avert'a'n
avertas	avert'as
averte	avert'e
averti	avert'i
avertis	avert'is
averto	avert'o
avertoj	avert'o'j
avertojn	avert'o'j'n
averton	avert'o'n
avertos	avert'os
avertu	avert'u
avertado	avert'ad'o
avertanta	avert'ant'a
avertantaj	avert'ant'a'j
avertantajn	avert'ant'a'j'n
avertantan	avert'ant'a'n
avertante	avert'ant'e
avertilo	avert'il'o
avertita	avert'it'a
avertitaj	avert'it'a'j
avertrimarko	avert'rimark'o
avesta	avest'a
avestan	avest'a'n
avesto	avest'o
avia	avi'a
avio	avi'o
avioj	avi'o'j
avion	avi'o'n
aviada	aviad'a
aviadaj	aviad'a'j
aviadan	aviad'a'n
aviadi	aviad'i
aviado	aviad'o
aviadon	aviad'o'n
aviadila	aviad'il'a
aviadilaj	aviad'il'a'j
aviadilajn	aviad'il'a'j'n
aviadilan	aviad'il'a'n
aviadile	aviad'il'e
aviadilo	aviad'il'o
aviadiloj	aviad'il'o'j
aviadilojn	aviad'il'o'j'n
aviadilon	aviad'il'o'n
aviadilskeleto	aviad'il'skelet'o
aviadilŝipo	aviad'il'ŝip'o
aviadilŝipoj	aviad'il'ŝip'o'j
aviadilŝipojn	aviad'il'ŝip'o'j'n
aviadisto	aviad'ist'o
aviadistoj	aviad'ist'o'j
aviadkompanio	aviad'kompani'o
aviadkompanioj	aviad'kompani'o'j
aviadkompaniojn	aviad'kompani'o'j'n
aviadkompanion	aviad'kompani'o'n
aviceno	avicen'o
avida	avid'a
avidaj	avid'a'j
avidas	avid'as
avide	avid'e
avidi	avid'i
avidis	avid'is
avido	avid'o
avidoj	avid'o'j
avidon	avid'o'n
avideco	avid'ec'o
avidecon	avid'ec'o'n
avidita	avid'it'a
avinjono	avinjon'o
avizo	aviz'o
avizoj	aviz'o'j
avizojn	aviz'o'j'n
avizon	aviz'o'n
avokado	avokad'o
azaleoj	azale'o'j
azena	azen'a
azeno	azen'o
azenoj	azen'o'j
azenojn	azen'o'j'n
azenon	azen'o'n
azeneto	azen'et'o
azera	azer'a
azeraj	azer'a'j
azeroj	azer'o'j
azerbajĝana	azerbajĝan'a
azerbajĝano	azerbajĝan'o
azerbajĝanon	azerbajĝan'o'n
azia	azi'a
aziaj	azi'a'j
aziajn	azi'a'j'n
azian	azi'a'n
azio	azi'o
azion	azi'o'n
aziano	azi'an'o
azianoj	azi'an'o'j
azianojn	azi'an'o'j'n
azipacifika	azi'pacifik'a
azido	azid'o
azilo	azil'o
azilon	azil'o'n
azilpetantoj	azil'pet'ant'o'j
azimuton	azimut'o'n
azoto	azot'o
azova	azov'a
azteka	aztek'a
aztekaj	aztek'a'j
aztekoj	aztek'o'j
