paca	pac'a
prilaboritajn	pri'labor'it'a'j'n
prilaboritan	pri'labor'it'a'n
prilaborite	pri'labor'it'e
prilingva	pri'lingv'a
prilingvaj	pri'lingv'a'j
prilumas	pri'lum'as
prilumi	pri'lum'i
prilumis	pri'lum'is
prilumo	pri'lum'o
prilumado	pri'lum'ad'o
prilumanta	pri'lum'ant'a
prilumante	pri'lum'ant'e
prilumata	pri'lum'at'a
prilumataj	pri'lum'at'a'j
prilumita	pri'lum'it'a
prilumitaj	pri'lum'it'a'j
prilumitan	pri'lum'it'a'n
primediti	pri'medit'i
primokas	pri'mok'as
primoki	pri'mok'i
primokis	pri'mok'is
primoko	pri'mok'o
primoku	pri'mok'u
primovada	pri'mov'ad'a
primovadaj	pri'mov'ad'a'j
prinotita	pri'not'it'a
priokupiĝis	pri'okup'iĝ'is
priokupiĝo	pri'okup'iĝ'o
pripafis	pri'paf'is
pripafado	pri'paf'ad'o
pripagis	pri'pag'is
priparolas	pri'parol'as
priparoli	pri'parol'i
priparolis	pri'parol'is
priparolo	pri'parol'o
priparolos	pri'parol'os
priparolu	pri'parol'u
priparolante	pri'parol'ant'e
priparolata	pri'parol'at'a
priparolataj	pri'parol'at'a'j
priparoligi	pri'parol'ig'i
priparolita	pri'parol'it'a
priparolitaj	pri'parol'it'a'j
pripensa	pri'pens'a
pripensas	pri'pens'as
pripense	pri'pens'e
pripensi	pri'pens'i
pripensis	pri'pens'is
pripenso	pri'pens'o
pripensoj	pri'pens'o'j
pripensojn	pri'pens'o'j'n
pripenson	pri'pens'o'n
pripensos	pri'pens'os
pripensu	pri'pens'u
pripensus	pri'pens'us
pripensadi	pri'pens'ad'i
pripensadis	pri'pens'ad'is
pripensado	pri'pens'ad'o
pripensadoj	pri'pens'ad'o'j
pripensadon	pri'pens'ad'o'n
pripensanta	pri'pens'ant'a
pripensantaj	pri'pens'ant'a'j
pripensante	pri'pens'ant'e
pripensata	pri'pens'at'a
pripensema	pri'pens'em'a
pripensemaj	pri'pens'em'a'j
pripenseme	pri'pens'em'e
pripensiga	pri'pens'ig'a
pripensinda	pri'pens'ind'a
pripensindaj	pri'pens'ind'a'j
pripensinte	pri'pens'int'e
pripensita	pri'pens'it'a
pripensitaj	pri'pens'it'a'j
pripensitan	pri'pens'it'a'n
pripensite	pri'pens'it'e
pripentrita	pri'pentr'it'a
priplantis	pri'plant'is
priplantita	pri'plant'it'a
priplantitaj	pri'plant'it'a'j
priploras	pri'plor'as
priplori	pri'plor'i
priploris	pri'plor'is
priplorinda	pri'plor'ind'a
prirabas	pri'rab'as
prirabi	pri'rab'i
prirabis	pri'rab'is
prirabado	pri'rab'ad'o
prirabante	pri'rab'ant'e
prirabita	pri'rab'it'a
prirabitaj	pri'rab'it'a'j
priraportado	pri'raport'ad'o
priraportadon	pri'raport'ad'o'n
priregi	pri'reg'i
priregis	pri'reg'is
prirezignas	pri'rezign'as
prirezigni	pri'rezign'i
prirezignis	pri'rezign'is
prirezignus	pri'rezign'us
prirezignado	pri'rezign'ad'o
prirezignante	pri'rezign'ant'e
prirezignita	pri'rezign'it'a
prirezignitaj	pri'rezign'it'a'j
priridas	pri'rid'as
priridi	pri'rid'i
priridis	pri'rid'is
priridos	pri'rid'os
priridu	pri'rid'u
pririgardas	pri'rigard'as
pririgardi	pri'rigard'i
pririgardis	pri'rigard'is
pririgardo	pri'rigard'o
pririgardadis	pri'rigard'ad'is
pririgardanta	pri'rigard'ant'a
pririgardante	pri'rigard'ant'e
pririgardinte	pri'rigard'int'e
prisana	pri'san'a
prisanaj	pri'san'a'j
prisemis	pri'sem'is
prisemita	pri'sem'it'a
priserĉas	pri'serĉ'as
priserĉi	pri'serĉ'i
priserĉis	pri'serĉ'is
priserĉo	pri'serĉ'o
priserĉado	pri'serĉ'ad'o
priserĉitaj	pri'serĉ'it'a'j
priservas	pri'serv'as
priservi	pri'serv'i
priservis	pri'serv'is
priservo	pri'serv'o
priservado	pri'serv'ad'o
priservata	pri'serv'at'a
prisignas	pri'sign'as
prisignita	pri'sign'it'a
prisignitaj	pri'sign'it'a'j
prisilentas	pri'silent'as
prisilenti	pri'silent'i
prisilentis	pri'silent'is
prisilentu	pri'silent'u
prisilentado	pri'silent'ad'o
priskriba	pri'skrib'a
priskribaj	pri'skrib'a'j
priskribajn	pri'skrib'a'j'n
priskriban	pri'skrib'a'n
priskribas	pri'skrib'as
priskribe	pri'skrib'e
priskribi	pri'skrib'i
priskribis	pri'skrib'is
priskribo	pri'skrib'o
priskriboj	pri'skrib'o'j
priskribojn	pri'skrib'o'j'n
priskribon	pri'skrib'o'n
priskribos	pri'skrib'os
priskribu	pri'skrib'u
priskribus	pri'skrib'us
priskribado	pri'skrib'ad'o
priskribanta	pri'skrib'ant'a
priskribantaj	pri'skrib'ant'a'j
priskribantajn	pri'skrib'ant'a'j'n
priskribantan	pri'skrib'ant'a'n
priskribante	pri'skrib'ant'e
priskribata	pri'skrib'at'a
priskribataj	pri'skrib'at'a'j
priskribatan	pri'skrib'at'a'n
priskribebla	pri'skrib'ebl'a
priskribeblaj	pri'skrib'ebl'a'j
priskribeblas	pri'skrib'ebl'as
priskribiĝas	pri'skrib'iĝ'as
priskribilo	pri'skrib'il'o
priskribita	pri'skrib'it'a
priskribitaj	pri'skrib'it'a'j
priskribitajn	pri'skrib'it'a'j'n
priskribitan	pri'skrib'it'a'n
priskribite	pri'skrib'it'e
priŝtelas	pri'ŝtel'as
priŝteli	pri'ŝtel'i
priŝtelis	pri'ŝtel'is
priŝtelita	pri'ŝtel'it'a
pristudas	pri'stud'as
pristudi	pri'stud'i
pristudis	pri'stud'is
pristudo	pri'stud'o
pristudu	pri'stud'u
pristudata	pri'stud'at'a
pristudita	pri'stud'it'a
pritaksas	pri'taks'as
pritaksi	pri'taks'i
pritaksis	pri'taks'is
pritakso	pri'taks'o
pritaksoj	pri'taks'o'j
pritakson	pri'taks'o'n
pritaksado	pri'taks'ad'o
pritaksata	pri'taks'at'a
pritaksita	pri'taks'it'a
pritemas	pri'tem'as
pritondis	pri'tond'is
pritraktaj	pri'trakt'a'j
pritraktas	pri'trakt'as
pritrakti	pri'trakt'i
pritraktis	pri'trakt'is
pritrakto	pri'trakt'o
pritrakton	pri'trakt'o'n
pritraktos	pri'trakt'os
pritraktu	pri'trakt'u
pritraktus	pri'trakt'us
pritraktado	pri'trakt'ad'o
pritraktadon	pri'trakt'ad'o'n
pritraktanta	pri'trakt'ant'a
pritraktantaj	pri'trakt'ant'a'j
pritraktantajn	pri'trakt'ant'a'j'n
pritraktante	pri'trakt'ant'e
pritraktata	pri'trakt'at'a
pritraktataj	pri'trakt'at'a'j
pritraktita	pri'trakt'it'a
pritraktitaj	pri'trakt'it'a'j
pritraktite	pri'trakt'it'e
priverŝita	pri'verŝ'it'a
prizorgas	pri'zorg'as
prizorgi	pri'zorg'i
prizorgis	pri'zorg'is
prizorgo	pri'zorg'o
prizorgoj	pri'zorg'o'j
prizorgon	pri'zorg'o'n
prizorgos	pri'zorg'os
prizorgu	pri'zorg'u
prizorgus	pri'zorg'us
prizorgado	pri'zorg'ad'o
prizorgadon	pri'zorg'ad'o'n
prizorganta	pri'zorg'ant'a
prizorgantaj	pri'zorg'ant'a'j
prizorgante	pri'zorg'ant'e
prizorganto	pri'zorg'ant'o
prizorgantoj	pri'zorg'ant'o'j
prizorganton	pri'zorg'ant'o'n
prizorgata	pri'zorg'at'a
prizorgataj	pri'zorg'at'a'j
prizorgita	pri'zorg'it'a
prizorgitaj	pri'zorg'it'a'j
prizorgitan	pri'zorg'it'a'n
prizorgite	pri'zorg'it'e
prizorgokostoj	pri'zorg'o'kost'o'j
prizorgokostojn	pri'zorg'o'kost'o'j'n
priapo	priap'o
prima	prim'a
primaj	prim'a'j
prime	prim'e
primo	prim'o
primoj	prim'o'j
primadono	primadon'o
primara	primar'a
primaraj	primar'a'j
primarajn	primar'a'j'n
primaran	primar'a'n
primare	primar'e
primarkoloroj	primar'kolor'o'j
primarproduktado	primar'produkt'ad'o
primaso	primas'o
primaseco	primas'ec'o
primato	primat'o
primatoj	primat'o'j
primavera	primaver'a
primavero	primaver'o
primitiva	primitiv'a
primitivaj	primitiv'a'j
primitivajn	primitiv'a'j'n
primitivan	primitiv'a'n
primitive	primitiv'e
primitiveco	primitiv'ec'o
primitivismo	primitiv'ism'o
primitivulo	primitiv'ul'o
primitivuloj	primitiv'ul'o'j
primitivulojn	primitiv'ul'o'j'n
primoloj	primol'o'j
primuso	primus'o
primuson	primus'o'n
princa	princ'a
princaj	princ'a'j
princan	princ'a'n
prince	princ'e
princo	princ'o
princoj	princ'o'j
princojn	princ'o'j'n
princon	princ'o'n
princelektisto	princ'elekt'ist'o
princepiskopo	princ'episkop'o
princepiskopejo	princ'episkop'ej'o
princepiskopujo	princ'episkop'uj'o
princeton	princ'et'o'n
princido	princ'id'o
princidino	princ'id'in'o
princino	princ'in'o
princinoj	princ'in'o'j
princinojn	princ'in'o'j'n
princinon	princ'in'o'n
princlando	princ'land'o
princlandoj	princ'land'o'j
princlandojn	princ'land'o'j'n
princlandon	princ'land'o'n
princoelektisto	princ'o'elekt'ist'o
principa	princip'a
principaj	princip'a'j
principajn	princip'a'j'n
principan	princip'a'n
principe	princip'e
principo	princip'o
principoj	princip'o'j
principojn	princip'o'j'n
principon	princip'o'n
principaro	princip'ar'o
principeo	principe'o
printi	print'i
printado	print'ad'o
printadon	print'ad'o'n
printilo	print'il'o
printiloj	print'il'o'j
printilojn	print'il'o'j'n
printilon	print'il'o'n
printita	print'it'a
printitaj	print'it'a'j
printempa	printemp'a
printempaj	printemp'a'j
printempajn	printemp'a'j'n
printempan	printemp'a'n
printempe	printemp'e
printempo	printemp'o
printempoj	printemp'o'j
printempon	printemp'o'n
prionaj	prion'a'j
prionoj	prion'o'j
prioro	prior'o
prioroj	prior'o'j
priorejo	prior'ej'o
prioritata	prioritat'a
prioritataj	prioritat'a'j
prioritatan	prioritat'a'n
prioritatas	prioritat'as
prioritate	prioritat'e
prioritati	prioritat'i
prioritatis	prioritat'is
prioritato	prioritat'o
prioritatoj	prioritat'o'j
prioritatojn	prioritat'o'j'n
prioritaton	prioritat'o'n
prioritatigi	prioritat'ig'i
prisma	prism'a
prismaj	prism'a'j
prismo	prism'o
prismoj	prism'o'j
prismon	prism'o'n
privata	privat'a
privataj	privat'a'j
privatajn	privat'a'j'n
privatan	privat'a'n
private	privat'e
privatdetektivo	privat'detektiv'o
privateco	privat'ec'o
privatecon	privat'ec'o'n
privateckonzernoj	privat'ec'konzern'o'j
privatentrepreno	privat'entrepren'o
privatfirmao	privat'firma'o
privatfirmaoj	privat'firma'o'j
privatigi	privat'ig'i
privatigo	privat'ig'o
privatigoj	privat'ig'o'j
privatigon	privat'ig'o'n
privatigita	privat'ig'it'a
privatigitaj	privat'ig'it'a'j
privatindustrio	privat'industri'o
privatlernejoj	privat'lern'ej'o'j
privatposedata	privat'posed'at'a
privatposedataj	privat'posed'at'a'j
privatproprieto	privat'propriet'o
privatproprieton	privat'propriet'o'n
privatsektora	privat'sektor'a
privatsektoraj	privat'sektor'a'j
privatulo	privat'ul'o
privatuloj	privat'ul'o'j
privilegia	privilegi'a
privilegiaj	privilegi'a'j
privilegian	privilegi'a'n
privilegias	privilegi'as
privilegie	privilegi'e
privilegii	privilegi'i
privilegio	privilegi'o
privilegioj	privilegi'o'j
privilegiojn	privilegi'o'j'n
privilegion	privilegi'o'n
privilegiita	privilegi'it'a
privilegiitaj	privilegi'it'a'j
privilegiuloj	privilegi'ul'o'j
prizona	prizon'a
prizonaj	prizon'a'j
prizonan	prizon'a'n
prizono	prizon'o
prizonoj	prizon'o'j
prizonon	prizon'o'n
prizonestro	prizon'estr'o
prizonpastro	prizon'pastr'o
prizonulo	prizon'ul'o
prizonuloj	prizon'ul'o'j
prizonulojn	prizon'ul'o'j'n
prizonulon	prizon'ul'o'n
pro	pro
proparolanto	pro'parol'ant'o
proparolantoj	pro'parol'ant'o'j
proparolantino	pro'parol'ant'in'o
propeka	pro'pek'a
propeti	pro'pet'i
propeto	pro'pet'o
probabla	probabl'a
probablaj	probabl'a'j
probablan	probabl'a'n
probablas	probabl'as
probable	probabl'e
probablo	probabl'o
probabloj	probabl'o'j
probablon	probabl'o'n
probableco	probabl'ec'o
probablecoj	probabl'ec'o'j
probablecon	probabl'ec'o'n
probablokalkulo	probabl'o'kalkul'o
problema	problem'a
problemaj	problem'a'j
problemajn	problem'a'j'n
probleman	problem'a'n
problemas	problem'as
probleme	problem'e
problemo	problem'o
problemoj	problem'o'j
problemojn	problem'o'j'n
problemon	problem'o'n
problemaro	problem'ar'o
problemaron	problem'ar'o'n
problemego	problem'eg'o
problemeto	problem'et'o
problemetoj	problem'et'o'j
problemsolva	problem'solv'a
problemsolvaj	problem'solv'a'j
problemsolvo	problem'solv'o
procedas	proced'as
procede	proced'e
procedi	proced'i
procedis	proced'is
procedo	proced'o
procedoj	proced'o'j
procedojn	proced'o'j'n
procedon	proced'o'n
procedu	proced'u
procedmaniero	proced'manier'o
procedmanieron	proced'manier'o'n
procedura	procedur'a
proceduraj	procedur'a'j
procedurajn	procedur'a'j'n
proceduran	procedur'a'n
proceduro	procedur'o
proceduroj	procedur'o'j
procedurojn	procedur'o'j'n
proceduron	procedur'o'n
procelarioformaj	procelari'o'form'a'j
procento	procent'o
procentoj	procent'o'j
procentojn	procent'o'j'n
procenton	procent'o'n
procentaĵo	procent'aĵ'o
procentaĵon	procent'aĵ'o'n
procesas	proces'as
procesi	proces'i
procesis	proces'is
proceso	proces'o
procesoj	proces'o'j
procesojn	proces'o'j'n
proceson	proces'o'n
procesantoj	proces'ant'o'j
procesigi	proces'ig'i
procesigo	proces'ig'o
procesigoj	proces'ig'o'j
procesigon	proces'ig'o'n
procesigita	proces'ig'it'a
procesigitaj	proces'ig'it'a'j
procesie	procesi'e
procesio	procesi'o
procesioj	procesi'o'j
procesiojn	procesi'o'j'n
procesion	procesi'o'n
procesoro	procesor'o
procesoroj	procesor'o'j
procesorojn	procesor'o'j'n
procesoron	procesor'o'n
proceza	procez'a
procezo	procez'o
procezoj	procez'o'j
procezojn	procez'o'j'n
procezon	procez'o'n
procezado	procez'ad'o
procezilo	procez'il'o
proceziloj	procez'il'o'j
procezitaj	procez'it'a'j
produkta	produkt'a
produktaj	produkt'a'j
produktajn	produkt'a'j'n
produktan	produkt'a'n
produktas	produkt'as
produkti	produkt'i
produktis	produkt'is
produkto	produkt'o
produktoj	produkt'o'j
produktojn	produkt'o'j'n
produkton	produkt'o'n
produktos	produkt'os
produktu	produkt'u
produktus	produkt'us
produktada	produkt'ad'a
produktadaj	produkt'ad'a'j
produktadajn	produkt'ad'a'j'n
produktadan	produkt'ad'a'n
produktadis	produkt'ad'is
produktado	produkt'ad'o
produktadoj	produkt'ad'o'j
produktadojn	produkt'ad'o'j'n
produktadon	produkt'ad'o'n
produktadaŭtoj	produkt'ad'aŭt'o'j
produktadfortoj	produkt'ad'fort'o'j
produktadfunkcio	produkt'ad'funkci'o
produktadinstalaĵoj	produkt'ad'instal'aĵ'o'j
produktadmaniero	produkt'ad'manier'o
produktadmetodo	produkt'ad'metod'o
produktadmetodoj	produkt'ad'metod'o'j
produktadokosto	produkt'ad'o'kost'o
produktadoteknikoj	produkt'ad'o'teknik'o'j
produktadoperacioj	produkt'ad'operaci'o'j
produktadrimedoj	produkt'ad'rimed'o'j
produktadsistemo	produkt'ad'sistem'o
produktadsistemoj	produkt'ad'sistem'o'j
produktaĵo	produkt'aĵ'o
produktaĵoj	produkt'aĵ'o'j
produktaĵojn	produkt'aĵ'o'j'n
produktaĵon	produkt'aĵ'o'n
produktaĵsignalo	produkt'aĵ'signal'o
produktaĵtensio	produkt'aĵ'tensi'o
produktaĵtension	produkt'aĵ'tensi'o'n
produktanta	produkt'ant'a
produktantaj	produkt'ant'a'j
produktantajn	produkt'ant'a'j'n
produktantan	produkt'ant'a'n
produktante	produkt'ant'e
produktanto	produkt'ant'o
produktantoj	produkt'ant'o'j
produktantojn	produkt'ant'o'j'n
produktanton	produkt'ant'o'n
produktata	produkt'at'a
produktataj	produkt'at'a'j
produktatas	produkt'at'as
produktebla	produkt'ebl'a
produktejo	produkt'ej'o
produktejoj	produkt'ej'o'j
produktema	produkt'em'a
produktemaj	produkt'em'a'j
produktentrepreno	produkt'entrepren'o
produktentreprenoj	produkt'entrepren'o'j
produktevoluigo	produkt'evolu'ig'o
produktiĝas	produkt'iĝ'as
produktiĝis	produkt'iĝ'is
produktiloj	produkt'il'o'j
produktinta	produkt'int'a
produktisto	produkt'ist'o
produktistoj	produkt'ist'o'j
produktita	produkt'it'a
produktitaj	produkt'it'a'j
produktitajn	produkt'it'a'j'n
produktitan	produkt'it'a'n
produktite	produkt'it'e
produktiva	produkt'iv'a
produktivaj	produkt'iv'a'j
produktivajn	produkt'iv'a'j'n
produktivan	produkt'iv'a'n
produktive	produkt'iv'e
produktiveco	produkt'iv'ec'o
produktivecon	produkt'iv'ec'o'n
produktodezajno	produkt'o'dezajn'o
produktokosto	produkt'o'kost'o
produktokostoj	produkt'o'kost'o'j
produktokostojn	produkt'o'kost'o'j'n
produktokoston	produkt'o'kost'o'n
produktokvalito	produkt'o'kvalit'o
produktokvanto	produkt'o'kvant'o
produktokvanton	produkt'o'kvant'o'n
produktovaloro	produkt'o'valor'o
produktserio	produkt'seri'o
produktserioj	produkt'seri'o'j
produktteamo	produkt'team'o
produktoro	produktor'o
produktoroj	produktor'o'j
produto	produt'o
produtoj	produt'o'j
profana	profan'a
profanaj	profan'a'j
profanan	profan'a'n
profano	profan'o
profanado	profan'ad'o
profanita	profan'it'a
profesia	profesi'a
profesiaj	profesi'a'j
profesiajn	profesi'a'j'n
profesian	profesi'a'n
profesie	profesi'e
profesio	profesi'o
profesioj	profesi'o'j
profesiojn	profesi'o'j'n
profesion	profesi'o'n
profesieca	profesi'ec'a
profesieco	profesi'ec'o
profesiigi	profesi'ig'i
profesiigo	profesi'ig'o
profesiiĝo	profesi'iĝ'o
profesiismo	profesi'ism'o
profesinivelaj	profesi'nivel'a'j
profesinivele	profesi'nivel'e
profesiulo	profesi'ul'o
profesiuloj	profesi'ul'o'j
profesiulojn	profesi'ul'o'j'n
profesiulon	profesi'ul'o'n
profesora	profesor'a
profesoris	profesor'is
profesoro	profesor'o
profesoroj	profesor'o'j
profesorojn	profesor'o'j'n
profesoron	profesor'o'n
profesoreco	profesor'ec'o
profesorino	profesor'in'o
profeta	profet'a
profetaj	profet'a'j
profetan	profet'a'n
profetas	profet'as
profeti	profet'i
profetis	profet'is
profeto	profet'o
profetoj	profet'o'j
profetojn	profet'o'j'n
profeton	profet'o'n
profetaĵo	profet'aĵ'o
profetaĵoj	profet'aĵ'o'j
profetaĵojn	profet'aĵ'o'j'n
profetaĵon	profet'aĵ'o'n
profetanto	profet'ant'o
profetino	profet'in'o
profetita	profet'it'a
profile	profil'e
profilo	profil'o
profiloj	profil'o'j
profilojn	profil'o'j'n
profilon	profil'o'n
profilado	profil'ad'o
profilakta	profilakt'a
profilaktaj	profilakt'a'j
profilaktan	profilakt'a'n
profilaktiko	profilakt'ik'o
profita	profit'a
profitaj	profit'a'j
profitan	profit'a'n
profitas	profit'as
profite	profit'e
profiti	profit'i
profitis	profit'is
profito	profit'o
profitoj	profit'o'j
profitojn	profit'o'j'n
profiton	profit'o'n
profitos	profit'os
profitu	profit'u
profitus	profit'us
profitantaj	profit'ant'a'j
profitante	profit'ant'e
profitanto	profit'ant'o
profitantoj	profit'ant'o'j
profitcela	profit'cel'a
profitcelaj	profit'cel'a'j
profitdona	profit'don'a
profitdonaj	profit'don'a'j
profitdone	profit'don'e
profiteco	profit'ec'o
profitecon	profit'ec'o'n
profitema	profit'em'a
profitemo	profit'em'o
profitfontoj	profit'font'o'j
profitiga	profit'ig'a
profitigas	profit'ig'as
profitigi	profit'ig'i
profitigis	profit'ig'is
profitigos	profit'ig'os
profitkvoto	profit'kvot'o
profitodona	profit'o'don'a
profunda	profund'a
profundaj	profund'a'j
profundajn	profund'a'j'n
profundan	profund'a'n
profundas	profund'as
profunde	profund'e
profunden	profund'e'n
profundo	profund'o
profundoj	profund'o'j
profundojn	profund'o'j'n
profundon	profund'o'n
profundaĵo	profund'aĵ'o
profundaĵoj	profund'aĵ'o'j
profundaĵojn	profund'aĵ'o'j'n
profundaĵon	profund'aĵ'o'n
profundakva	profund'akv'a
profundakvaj	profund'akv'a'j
profundeco	profund'ec'o
profundecoj	profund'ec'o'j
profundecon	profund'ec'o'n
profundega	profund'eg'a
profundigas	profund'ig'as
profundigi	profund'ig'i
profundigis	profund'ig'is
profundigo	profund'ig'o
profundigos	profund'ig'os
profundigante	profund'ig'ant'e
profundigita	profund'ig'it'a
profundiĝas	profund'iĝ'as
profundiĝi	profund'iĝ'i
profundiĝis	profund'iĝ'is
profundiĝo	profund'iĝ'o
profundradika	profund'radik'a
progesterono	progesteron'o
prognoza	prognoz'a
prognozaj	prognoz'a'j
prognozajn	prognoz'a'j'n
prognozan	prognoz'a'n
prognozas	prognoz'as
prognozi	prognoz'i
prognozis	prognoz'is
prognozo	prognoz'o
prognozoj	prognoz'o'j
prognozojn	prognoz'o'j'n
prognozon	prognoz'o'n
prognozado	prognoz'ad'o
prognozanta	prognoz'ant'a
prognozilo	prognoz'il'o
prognoziloj	prognoz'il'o'j
programa	program'a
programaj	program'a'j
programajn	program'a'j'n
programan	program'a'n
programas	program'as
programe	program'e
programi	program'i
programis	program'is
programo	program'o
programoj	program'o'j
programojn	program'o'j'n
programon	program'o'n
programada	program'ad'a
programadaj	program'ad'a'j
programado	program'ad'o
programadon	program'ad'o'n
programanta	program'ant'a
programante	program'ant'e
programara	program'ar'a
programaro	program'ar'o
programaroj	program'ar'o'j
programarojn	program'ar'o'j'n
programaron	program'ar'o'n
programarofundamento	program'ar'o'fundament'o
programarpakaĵoj	program'ar'pak'aĵ'o'j
programebla	program'ebl'a
programeblaj	program'ebl'a'j
programeca	program'ec'a
programero	program'er'o
programeroj	program'er'o'j
programerojn	program'er'o'j'n
programeron	program'er'o'n
programereto	program'er'et'o
programeto	program'et'o
programetoj	program'et'o'j
programevoluo	program'evolu'o
programisto	program'ist'o
programistoj	program'ist'o'j
programistojn	program'ist'o'j'n
programiston	program'ist'o'n
programita	program'it'a
programitaj	program'it'a'j
programlingva	program'lingv'a
programlingvo	program'lingv'o
programlingvoj	program'lingv'o'j
programlingvojn	program'lingv'o'j'n
programlingvon	program'lingv'o'n
programmuziko	program'muzik'o
progresa	progres'a
progresaj	progres'a'j
progresan	progres'a'n
progresas	progres'as
progrese	progres'e
progresi	progres'i
progresis	progres'is
progreso	progres'o
progresoj	progres'o'j
progresojn	progres'o'j'n
progreson	progres'o'n
progresos	progres'os
progresu	progres'u
progresus	progres'us
progresado	progres'ad'o
progresadon	progres'ad'o'n
progresanta	progres'ant'a
progresantaj	progres'ant'a'j
progresantan	progres'ant'a'n
progresante	progres'ant'e
progresanto	progres'ant'o
progresantoj	progres'ant'o'j
progresema	progres'em'a
progresemaj	progres'em'a'j
progresemajn	progres'em'a'j'n
progreseman	progres'em'a'n
progresemo	progres'em'o
progresemulo	progres'em'ul'o
progresemuloj	progres'em'ul'o'j
progresio	progres'i'o
progresiga	progres'ig'a
progresigas	progres'ig'as
progresigi	progres'ig'i
progresigis	progres'ig'is
progresigo	progres'ig'o
progresinta	progres'int'a
progresintaj	progres'int'a'j
progresintajn	progres'int'a'j'n
progresintan	progres'int'a'n
progresintoj	progres'int'o'j
progresiva	progresiv'a
progresive	progresiv'e
prohiba	prohib'a
prohibe	prohib'e
prohibi	prohib'i
prohibicio	prohibici'o
prohibicioj	prohibici'o'j
prohibicion	prohibici'o'n
projekcia	projekci'a
projekcias	projekci'as
projekcii	projekci'i
projekciis	projekci'is
projekcio	projekci'o
projekcioj	projekci'o'j
projekciojn	projekci'o'j'n
projekcion	projekci'o'n
projekciado	projekci'ad'o
projekciaĵo	projekci'aĵ'o
projekciante	projekci'ant'e
projekciilo	projekci'il'o
projekciiloj	projekci'il'o'j
projekciilon	projekci'il'o'n
projekciita	projekci'it'a
projekciitaj	projekci'it'a'j
projekta	projekt'a
projektaj	projekt'a'j
projektan	projekt'a'n
projektas	projekt'as
projekti	projekt'i
projektis	projekt'is
projekto	projekt'o
projektoj	projekt'o'j
projektojn	projekt'o'j'n
projekton	projekt'o'n
projektado	projekt'ad'o
projektadon	projekt'ad'o'n
projektadministrado	projekt'administr'ad'o
projektata	projekt'at'a
projektestro	projekt'estr'o
projektisto	projekt'ist'o
projektistoj	projekt'ist'o'j
projektita	projekt'it'a
projektitaj	projekt'it'a'j
projektkapitalistoj	projekt'kapital'ist'o'j
prokariotaj	prokariot'a'j
prokariotoj	prokariot'o'j
proklamas	proklam'as
proklami	proklam'i
proklamis	proklam'is
proklamo	proklam'o
proklamoj	proklam'o'j
proklamojn	proklam'o'j'n
proklamon	proklam'o'n
proklamos	proklam'os
proklamu	proklam'u
proklamado	proklam'ad'o
proklamante	proklam'ant'e
proklamata	proklam'at'a
proklamita	proklam'it'a
proklamitaj	proklam'it'a'j
prokonsulo	prokonsul'o
prokrastas	prokrast'as
prokrasti	prokrast'i
prokrastis	prokrast'is
prokrasto	prokrast'o
prokrastoj	prokrast'o'j
prokrastojn	prokrast'o'j'n
prokraston	prokrast'o'n
prokrastos	prokrast'os
prokrastu	prokrast'u
prokrastus	prokrast'us
prokrastado	prokrast'ad'o
prokrastante	prokrast'ant'e
prokrastata	prokrast'at'a
prokrastiĝis	prokrast'iĝ'is
prokrastita	prokrast'it'a
prokrastitaj	prokrast'it'a'j
proksima	proksim'a
proksimaj	proksim'a'j
proksimajn	proksim'a'j'n
proksiman	proksim'a'n
proksimas	proksim'as
proksime	proksim'e
proksimen	proksim'e'n
proksimis	proksim'is
proksimo	proksim'o
proksimaĵoj	proksim'aĵ'o'j
proksimbatalo	proksim'batal'o
proksimeco	proksim'ec'o
proksimecon	proksim'ec'o'n
proksimigas	proksim'ig'as
proksimigi	proksim'ig'i
proksimigis	proksim'ig'is
proksimigo	proksim'ig'o
proksimiĝas	proksim'iĝ'as
proksimiĝi	proksim'iĝ'i
proksimiĝis	proksim'iĝ'is
proksimiĝo	proksim'iĝ'o
proksimiĝon	proksim'iĝ'o'n
proksimiĝos	proksim'iĝ'os
proksimiĝu	proksim'iĝ'u
proksimiĝanta	proksim'iĝ'ant'a
proksimiĝantaj	proksim'iĝ'ant'a'j
proksimiĝantan	proksim'iĝ'ant'a'n
proksimiĝante	proksim'iĝ'ant'e
proksimulo	proksim'ul'o
proksimuloj	proksim'ul'o'j
proksimulojn	proksim'ul'o'j'n
proksimulon	proksim'ul'o'n
proksimularo	proksim'ul'ar'o
proksimuma	proksim'um'a
proksimumaj	proksim'um'a'j
proksimumajn	proksim'um'a'j'n
proksimuman	proksim'um'a'n
proksimume	proksim'um'e
prokuristo	prokur'ist'o
prokuratoro	prokurator'o
prokurilo	prokuril'o
prokuroro	prokuror'o
prokuroroj	prokuror'o'j
prokuroron	prokuror'o'n
prokurorejo	prokuror'ej'o
proleta	prolet'a
proletaj	prolet'a'j
proletan	prolet'a'n
proleto	prolet'o
proletoj	prolet'o'j
proletara	prolet'ar'a
proletaro	prolet'ar'o
proletaron	prolet'ar'o'n
proliferado	prolifer'ad'o
proliferadon	prolifer'ad'o'n
prologo	prolog'o
promena	promen'a
promenas	promen'as
promene	promen'e
promeni	promen'i
promenis	promen'is
promeno	promen'o
promenoj	promen'o'j
promenojn	promen'o'j'n
promenon	promen'o'n
promenos	promen'os
promenu	promen'u
promenadas	promen'ad'as
promenadi	promen'ad'i
promenadis	promen'ad'is
promenado	promen'ad'o
