macojn	mac'o'j'n
malsatantaj	mal'sat'ant'a'j
malsatega	mal'sat'eg'a
malsategas	mal'sat'eg'as
malsatego	mal'sat'eg'o
malsategon	mal'sat'eg'o'n
malsatigas	mal'sat'ig'as
malsatigi	mal'sat'ig'i
malsatigis	mal'sat'ig'is
malsatigos	mal'sat'ig'os
malsatkatastrofo	mal'sat'katastrof'o
malsatkatastrofoj	mal'sat'katastrof'o'j
malsatkatastrofojn	mal'sat'katastrof'o'j'n
malsatkatastrofon	mal'sat'katastrof'o'n
malsatmortas	mal'sat'mort'as
malsatmorti	mal'sat'mort'i
malsatmortis	mal'sat'mort'is
malsatulo	mal'sat'ul'o
malsatuloj	mal'sat'ul'o'j
malsatulojn	mal'sat'ul'o'j'n
malscio	mal'sci'o
malseka	mal'sek'a
malsekaj	mal'sek'a'j
malsekajn	mal'sek'a'j'n
malsekan	mal'sek'a'n
malsekas	mal'sek'as
malseke	mal'sek'e
malsekeco	mal'sek'ec'o
malsekecon	mal'sek'ec'o'n
malsekega	mal'sek'eg'a
malsekejoj	mal'sek'ej'o'j
malseketa	mal'sek'et'a
malseketaj	mal'sek'et'a'j
malseketiga	mal'sek'et'ig'a
malseketigi	mal'sek'et'ig'i
malseketigis	mal'sek'et'ig'is
malseketigado	mal'sek'et'ig'ad'o
malseketigita	mal'sek'et'ig'it'a
malseketigitaj	mal'sek'et'ig'it'a'j
malsekherbejoj	mal'sek'herb'ej'o'j
malsekigas	mal'sek'ig'as
malsekigi	mal'sek'ig'i
malsekigis	mal'sek'ig'is
malsekigo	mal'sek'ig'o
malsekigita	mal'sek'ig'it'a
malsekigitaj	mal'sek'ig'it'a'j
malsekigite	mal'sek'ig'it'e
malsekiĝas	mal'sek'iĝ'as
malsekiĝis	mal'sek'iĝ'is
malsekiĝo	mal'sek'iĝ'o
malsekiĝos	mal'sek'iĝ'os
malsekregiono	mal'sek'region'o
malsekregionoj	mal'sek'region'o'j
malsekregionojn	mal'sek'region'o'j'n
malsekura	mal'sekur'a
malsekureco	mal'sekur'ec'o
malserena	mal'seren'a
malserene	mal'seren'e
malsereniĝis	mal'seren'iĝ'is
malsereniĝo	mal'seren'iĝ'o
malserioza	mal'serioz'a
malserioze	mal'serioz'e
malsevera	mal'sever'a
malseveraj	mal'sever'a'j
malsevereco	mal'sever'ec'o
malsimetria	mal'simetri'a
malsimetriaj	mal'simetri'a'j
malsimetrian	mal'simetri'a'n
malsimetrie	mal'simetri'e
malsimetrio	mal'simetri'o
malsimetrion	mal'simetri'o'n
malsimila	mal'simil'a
malsimilaj	mal'simil'a'j
malsimilajn	mal'simil'a'j'n
malsimilan	mal'simil'a'n
malsimilas	mal'simil'as
malsimile	mal'simil'e
malsimilis	mal'simil'is
malsimileco	mal'simil'ec'o
malsimilecoj	mal'simil'ec'o'j
malsimilecon	mal'simil'ec'o'n
malsimpatia	mal'simpati'a
malsimpatio	mal'simpati'o
malsimpation	mal'simpati'o'n
malsimpla	mal'simpl'a
malsimplaj	mal'simpl'a'j
malsimplajn	mal'simpl'a'j'n
malsimplan	mal'simpl'a'n
malsimplas	mal'simpl'as
malsimple	mal'simpl'e
malsimpleco	mal'simpl'ec'o
malsincera	mal'sincer'a
malsinceraj	mal'sincer'a'j
malsincereco	mal'sincer'ec'o
malsocietema	mal'societ'em'a
malsolida	mal'solid'a
malsolidaj	mal'solid'a'j
malsovaĝa	mal'sovaĝ'a
malsovaĝaj	mal'sovaĝ'a'j
malsovaĝigi	mal'sovaĝ'ig'i
malsovaĝigis	mal'sovaĝ'ig'is
malsovaĝigo	mal'sovaĝ'ig'o
malsovaĝigita	mal'sovaĝ'ig'it'a
malsovaĝigitaj	mal'sovaĝ'ig'it'a'j
malsperta	mal'spert'a
malspertaj	mal'spert'a'j
malsperteco	mal'spert'ec'o
malsprita	mal'sprit'a
malspritaj	mal'sprit'a'j
malstabila	mal'stabil'a
malstabilaj	mal'stabil'a'j
malstabilan	mal'stabil'a'n
malstabileco	mal'stabil'ec'o
malstabilecoj	mal'stabil'ec'o'j
malstabilecon	mal'stabil'ec'o'n
malstabiligi	mal'stabil'ig'i
malstabiligis	mal'stabil'ig'is
malstreĉa	mal'streĉ'a
malstreĉaj	mal'streĉ'a'j
malstreĉan	mal'streĉ'a'n
malstreĉas	mal'streĉ'as
malstreĉe	mal'streĉ'e
malstreĉi	mal'streĉ'i
malstreĉis	mal'streĉ'is
malstreĉo	mal'streĉ'o
malstreĉon	mal'streĉ'o'n
malstreĉos	mal'streĉ'os
malstreĉu	mal'streĉ'u
malstreĉiga	mal'streĉ'ig'a
malstreĉiĝas	mal'streĉ'iĝ'as
malstreĉiĝi	mal'streĉ'iĝ'i
malstreĉiĝis	mal'streĉ'iĝ'is
malstreĉiĝo	mal'streĉ'iĝ'o
malstreĉiĝon	mal'streĉ'iĝ'o'n
malstreĉiĝu	mal'streĉ'iĝ'u
malstreĉita	mal'streĉ'it'a
malstreĉitaj	mal'streĉ'it'a'j
malstreĉitan	mal'streĉ'it'a'n
malstrikta	mal'strikt'a
malstriktaj	mal'strikt'a'j
malstriktan	mal'strikt'a'n
malstrikte	mal'strikt'e
malsufiĉa	mal'sufiĉ'a
malsufiĉas	mal'sufiĉ'as
malsufiĉe	mal'sufiĉ'e
malsufiĉo	mal'sufiĉ'o
malsukcesa	mal'sukces'a
malsukcesaj	mal'sukces'a'j
malsukcesajn	mal'sukces'a'j'n
malsukcesan	mal'sukces'a'n
malsukcesas	mal'sukces'as
malsukcese	mal'sukces'e
malsukcesi	mal'sukces'i
malsukcesis	mal'sukces'is
malsukceso	mal'sukces'o
malsukcesoj	mal'sukces'o'j
malsukcesojn	mal'sukces'o'j'n
malsukceson	mal'sukces'o'n
malsukcesos	mal'sukces'os
malsukcesu	mal'sukces'u
malsukcesus	mal'sukces'us
malsukcesado	mal'sukces'ad'o
malsukcesanta	mal'sukces'ant'a
malsukcesante	mal'sukces'ant'e
malsukcesigi	mal'sukces'ig'i
malsukcesigis	mal'sukces'ig'is
malsukcesigita	mal'sukces'ig'it'a
malsukcesigitaj	mal'sukces'ig'it'a'j
malsukcesinta	mal'sukces'int'a
malsukcesintus	mal'sukces'int'us
malsukcesita	mal'sukces'it'a
malsukcesprocento	mal'sukces'procent'o
malsukcesulo	mal'sukces'ul'o
malsupera	mal'super'a
malsuperaj	mal'super'a'j
malsuperajn	mal'super'a'j'n
malsuperan	mal'super'a'n
malsuperas	mal'super'as
malsupereco	mal'super'ec'o
malsuperklasaj	mal'super'klas'a'j
malsupra	mal'supr'a
malsupraj	mal'supr'a'j
malsuprajn	mal'supr'a'j'n
malsupran	mal'supr'a'n
malsupre	mal'supr'e
malsupren	mal'supr'e'n
malsupro	mal'supr'o
malsupron	mal'supr'o'n
malsupranivelaj	mal'supr'a'nivel'a'j
malsuprenigi	mal'supr'e'n'ig'i
malsuprenigis	mal'supr'e'n'ig'is
malsupreniĝa	mal'supr'e'n'iĝ'a
malsupreniĝan	mal'supr'e'n'iĝ'a'n
malsupreniĝis	mal'supr'e'n'iĝ'is
malsupreniĝo	mal'supr'e'n'iĝ'o
malsuprenira	mal'supr'e'n'ir'a
malsupreniras	mal'supr'e'n'ir'as
malsupreniri	mal'supr'e'n'ir'i
malsupreniris	mal'supr'e'n'ir'is
malsupreniro	mal'supr'e'n'ir'o
malsupreniros	mal'supr'e'n'ir'os
malsupreniru	mal'supr'e'n'ir'u
malsupreniranta	mal'supr'e'n'ir'ant'a
malsuprenirante	mal'supr'e'n'ir'ant'e
malsuprenkuris	mal'supr'e'n'kur'is
malŝaltas	mal'ŝalt'as
malŝalti	mal'ŝalt'i
malŝaltis	mal'ŝalt'is
malŝalto	mal'ŝalt'o
malŝaltos	mal'ŝalt'os
malŝaltu	mal'ŝalt'u
malŝaltiĝis	mal'ŝalt'iĝ'is
malŝaltita	mal'ŝalt'it'a
malŝaltitaj	mal'ŝalt'it'a'j
malŝargo	mal'ŝarg'o
malŝarĝas	mal'ŝarĝ'as
malŝarĝi	mal'ŝarĝ'i
malŝarĝis	mal'ŝarĝ'is
malŝarĝo	mal'ŝarĝ'o
malŝarĝado	mal'ŝarĝ'ad'o
malŝarĝita	mal'ŝarĝ'it'a
malŝarĝitaj	mal'ŝarĝ'it'a'j
malŝatas	mal'ŝat'as
malŝate	mal'ŝat'e
malŝati	mal'ŝat'i
malŝatis	mal'ŝat'is
malŝato	mal'ŝat'o
malŝaton	mal'ŝat'o'n
malŝatus	mal'ŝat'us
malŝatata	mal'ŝat'at'a
malŝatataj	mal'ŝat'at'a'j
malŝategas	mal'ŝat'eg'as
malŝategis	mal'ŝat'eg'is
malŝatinda	mal'ŝat'ind'a
malŝlosas	mal'ŝlos'as
malŝlosi	mal'ŝlos'i
malŝlosis	mal'ŝlos'is
malŝlosita	mal'ŝlos'it'a
malŝparas	mal'ŝpar'as
malŝpari	mal'ŝpar'i
malŝparis	mal'ŝpar'is
malŝparo	mal'ŝpar'o
malŝparon	mal'ŝpar'o'n
malŝparos	mal'ŝpar'os
malŝparu	mal'ŝpar'u
malŝparus	mal'ŝpar'us
malŝparado	mal'ŝpar'ad'o
malŝparante	mal'ŝpar'ant'e
malŝparema	mal'ŝpar'em'a
malŝparemaj	mal'ŝpar'em'a'j
malŝpareme	mal'ŝpar'em'e
malŝparemo	mal'ŝpar'em'o
malŝparita	mal'ŝpar'it'a
malŝparitaj	mal'ŝpar'it'a'j
malŝtopi	mal'ŝtop'i
malŝtopis	mal'ŝtop'is
maltaŭga	mal'taŭg'a
maltaŭgaj	mal'taŭg'a'j
maltaŭgajn	mal'taŭg'a'j'n
maltaŭgan	mal'taŭg'a'n
maltaŭgas	mal'taŭg'as
malteni	mal'ten'i
maltenis	mal'ten'is
maltenu	mal'ten'u
maltima	mal'tim'a
maltimida	mal'timid'a
maltipa	mal'tip'a
maltipaj	mal'tip'a'j
maltolerema	mal'toler'em'a
maltoleremaj	mal'toler'em'a'j
maltoleremo	mal'toler'em'o
maltoleremon	mal'toler'em'o'n
maltrafa	mal'traf'a
maltrafas	mal'traf'as
maltrafe	mal'traf'e
maltrafi	mal'traf'i
maltrafis	mal'traf'is
maltrafo	mal'traf'o
maltrafos	mal'traf'os
maltrafu	mal'traf'u
maltrafado	mal'traf'ad'o
maltrankvila	mal'trankvil'a
maltrankvilaj	mal'trankvil'a'j
maltrankvilajn	mal'trankvil'a'j'n
maltrankvilan	mal'trankvil'a'n
maltrankvilas	mal'trankvil'as
maltrankvile	mal'trankvil'e
maltrankvili	mal'trankvil'i
maltrankvilis	mal'trankvil'is
maltrankvilo	mal'trankvil'o
maltrankviloj	mal'trankvil'o'j
maltrankvilojn	mal'trankvil'o'j'n
maltrankvilon	mal'trankvil'o'n
maltrankvilu	mal'trankvil'u
maltrankvileco	mal'trankvil'ec'o
maltrankvilecon	mal'trankvil'ec'o'n
maltrankviliga	mal'trankvil'ig'a
maltrankviligaj	mal'trankvil'ig'a'j
maltrankviligan	mal'trankvil'ig'a'n
maltrankviligas	mal'trankvil'ig'as
maltrankvilige	mal'trankvil'ig'e
maltrankviligi	mal'trankvil'ig'i
maltrankviligis	mal'trankvil'ig'is
maltrankviligu	mal'trankvil'ig'u
maltrankviligado	mal'trankvil'ig'ad'o
maltrankviliganta	mal'trankvil'ig'ant'a
maltrankviligita	mal'trankvil'ig'it'a
maltrankviligitaj	mal'trankvil'ig'it'a'j
maltrankviligite	mal'trankvil'ig'it'e
maltrankviliĝas	mal'trankvil'iĝ'as
maltrankviliĝi	mal'trankvil'iĝ'i
maltrankviliĝis	mal'trankvil'iĝ'is
maltrankviliĝo	mal'trankvil'iĝ'o
maltrankviliĝon	mal'trankvil'iĝ'o'n
maltrankviliĝos	mal'trankvil'iĝ'os
maltrankviliĝu	mal'trankvil'iĝ'u
malunueca	mal'unu'ec'a
malurba	mal'urb'a
malutila	mal'util'a
malutilaj	mal'util'a'j
malutilajn	mal'util'a'j'n
malutilan	mal'util'a'n
malutilas	mal'util'as
malutile	mal'util'e
malutili	mal'util'i
malutilis	mal'util'is
malutilo	mal'util'o
malutiloj	mal'util'o'j
malutilojn	mal'util'o'j'n
malutilon	mal'util'o'n
malutilos	mal'util'os
malutilus	mal'util'us
malutileco	mal'util'ec'o
maluziĝis	mal'uz'iĝ'is
malvalida	mal'valid'a
malvalidaj	mal'valid'a'j
malvarma	mal'varm'a
malvarmaj	mal'varm'a'j
malvarmajn	mal'varm'a'j'n
malvarman	mal'varm'a'n
malvarmas	mal'varm'as
malvarme	mal'varm'e
malvarmis	mal'varm'is
malvarmo	mal'varm'o
malvarmoj	mal'varm'o'j
malvarmon	mal'varm'o'n
malvarmeco	mal'varm'ec'o
malvarmecon	mal'varm'ec'o'n
malvarmega	mal'varm'eg'a
malvarmegan	mal'varm'eg'a'n
malvarmegas	mal'varm'eg'as
malvarmege	mal'varm'eg'e
malvarmegis	mal'varm'eg'is
malvarmego	mal'varm'eg'o
malvarmeta	mal'varm'et'a
malvarmetaj	mal'varm'et'a'j
malvarmetajn	mal'varm'et'a'j'n
malvarmetan	mal'varm'et'a'n
malvarmetas	mal'varm'et'as
malvarmete	mal'varm'et'e
malvarmeto	mal'varm'et'o
malvarmeton	mal'varm'et'o'n
malvarmetigas	mal'varm'et'ig'as
malvarmetigi	mal'varm'et'ig'i
malvarmetigis	mal'varm'et'ig'is
malvarmetigu	mal'varm'et'ig'u
malvarmetigado	mal'varm'et'ig'ad'o
malvarmetigante	mal'varm'et'ig'ant'e
malvarmetigita	mal'varm'et'ig'it'a
malvarmetigitaj	mal'varm'et'ig'it'a'j
malvarmetigitan	mal'varm'et'ig'it'a'n
malvarmetigite	mal'varm'et'ig'it'e
malvarmetiĝas	mal'varm'et'iĝ'as
malvarmetiĝi	mal'varm'et'iĝ'i
malvarmetiĝis	mal'varm'et'iĝ'is
malvarmfronto	mal'varm'front'o
malvarmiga	mal'varm'ig'a
malvarmigaj	mal'varm'ig'a'j
malvarmigan	mal'varm'ig'a'n
malvarmigas	mal'varm'ig'as
malvarmigi	mal'varm'ig'i
malvarmigis	mal'varm'ig'is
malvarmigo	mal'varm'ig'o
malvarmigon	mal'varm'ig'o'n
malvarmiganta	mal'varm'ig'ant'a
malvarmigantaj	mal'varm'ig'ant'a'j
malvarmigantajn	mal'varm'ig'ant'a'j'n
malvarmigantan	mal'varm'ig'ant'a'n
malvarmigante	mal'varm'ig'ant'e
malvarmigita	mal'varm'ig'it'a
malvarmigoakvo	mal'varm'ig'o'akv'o
malvarmigosistemo	mal'varm'ig'o'sistem'o
malvarmigosistemoj	mal'varm'ig'o'sistem'o'j
malvarmiĝas	mal'varm'iĝ'as
malvarmiĝi	mal'varm'iĝ'i
malvarmiĝis	mal'varm'iĝ'is
malvarmiĝo	mal'varm'iĝ'o
malvarmiĝos	mal'varm'iĝ'os
malvarmsanga	mal'varm'sang'a
malvarmsange	mal'varm'sang'e
malvarmujo	mal'varm'uj'o
malvarmumas	mal'varm'um'as
malvarmumi	mal'varm'um'i
malvarmumis	mal'varm'um'is
malvarmumo	mal'varm'um'o
malvarmumon	mal'varm'um'o'n
malvarmumos	mal'varm'um'os
malvarmumu	mal'varm'um'u
malvarmumiĝis	mal'varm'um'iĝ'is
malvasta	mal'vast'a
malvastaj	mal'vast'a'j
malvastajn	mal'vast'a'j'n
malvastan	mal'vast'a'n
malvaste	mal'vast'e
malvastanima	mal'vast'anim'a
malvastanimaj	mal'vast'anim'a'j
malvasteco	mal'vast'ec'o
malvastigas	mal'vast'ig'as
malvastigi	mal'vast'ig'i
malvastigis	mal'vast'ig'is
malvastigita	mal'vast'ig'it'a
malvenkas	mal'venk'as
malvenki	mal'venk'i
malvenkis	mal'venk'is
malvenko	mal'venk'o
malvenkoj	mal'venk'o'j
malvenkojn	mal'venk'o'j'n
malvenkon	mal'venk'o'n
malvenkos	mal'venk'os
malvenkintoj	mal'venk'int'o'j
malvenkita	mal'venk'it'a
malvera	mal'ver'a
malveraj	mal'ver'a'j
malverajn	mal'ver'a'j'n
malveran	mal'ver'a'n
malveras	mal'ver'as
malvere	mal'ver'e
malvero	mal'ver'o
malverojn	mal'ver'o'j'n
malveron	mal'ver'o'n
malveraĵo	mal'ver'aĵ'o
malveraĵoj	mal'ver'aĵ'o'j
malveraĵojn	mal'ver'aĵ'o'j'n
malverema	mal'ver'em'a
malveremaj	mal'ver'em'a'j
malverŝajna	mal'ver'ŝajn'a
malverŝajnas	mal'ver'ŝajn'as
malverŝajne	mal'ver'ŝajn'e
malvesti	mal'vest'i
malvestis	mal'vest'is
malvigla	mal'vigl'a
malviglaj	mal'vigl'a'j
malvigle	mal'vigl'e
malvirta	mal'virt'a
malvirtaj	mal'virt'a'j
malvirtan	mal'virt'a'n
malvirto	mal'virt'o
malvirtoj	mal'virt'o'j
malvirtojn	mal'virt'o'j'n
malvirton	mal'virt'o'n
malvirtulo	mal'virt'ul'o
malvirtuloj	mal'virt'ul'o'j
malviva	mal'viv'a
malvivaj	mal'viv'a'j
malvivan	mal'viv'a'n
malvive	mal'viv'e
malvola	mal'vol'a
malvolaj	mal'vol'a'j
malvolajn	mal'vol'a'j'n
malvolan	mal'vol'a'n
malvolas	mal'vol'as
malvolis	mal'vol'is
malvolonta	mal'vol'ont'a
malvolontaj	mal'vol'ont'a'j
malvolonte	mal'vol'ont'e
malvolonta	mal'volont'a
malvolontaj	mal'volont'a'j
malvolonte	mal'volont'e
malvolvas	mal'volv'as
malvolvis	mal'volv'is
malvolviĝo	mal'volv'iĝ'o
malvortoj	mal'vort'o'j
malvortojn	mal'vort'o'j'n
malzorga	mal'zorg'a
malzorgas	mal'zorg'as
malzorge	mal'zorg'e
malzorgis	mal'zorg'is
malzorgo	mal'zorg'o
malzorgema	mal'zorg'em'a
malzorgemaj	mal'zorg'em'a'j
malzorgeman	mal'zorg'em'a'n
malzorgeme	mal'zorg'em'e
malzorgemo	mal'zorg'em'o
malago	malag'o
malagasa	malagas'a
malagasaj	malagas'a'j
malaja	malaj'a
malajaj	malaj'a'j
malajan	malaj'a'n
malajo	malaj'o
malajoj	malaj'o'j
malajala	malajal'a
malakito	malakit'o
malaria	malari'a
malario	malari'o
malarion	malari'o'n
malavio	malavi'o
maldivoj	maldiv'o'j
maleo	male'o
maleata	male'at'a
maleato	male'at'o
maleolo	maleol'o
maleoloj	maleol'o'j
maleolojn	maleol'o'j'n
maleolon	maleol'o'n
malgraŭ	malgraŭ
malgraŭe	malgraŭ'e
malgraŭvole	malgraŭ'vol'e
malia	mali'a
malio	mali'o
malica	malic'a
malicaj	malic'a'j
malicajn	malic'a'j'n
malican	malic'a'n
malice	malic'e
malico	malic'o
malicoj	malic'o'j
malicon	malic'o'n
maliceta	malic'et'a
malicspiritoj	malic'spirit'o'j
maliculo	malic'ul'o
maliculoj	malic'ul'o'j
maligna	malign'a
malignaj	malign'a'j
malone	malon'e
malta	malt'a
maltaj	malt'a'j
maltan	malt'a'n
malto	malt'o
malton	malt'o'n
maltano	malt'an'o
maltuso	maltus'o
malva	malv'a
malvacoj	malv'ac'o'j
malversacio	malversaci'o
malvinoj	malvin'o'j
mama	mam'a
mamaj	mam'a'j
maman	mam'a'n
mamo	mam'o
mamoj	mam'o'j
mamojn	mam'o'j'n
mamon	mam'o'n
mamakancera	mam'a'kancer'a
mambestoj	mam'best'o'j
mamkancero	mam'kancer'o
mamnutras	mam'nutr'as
mamnutri	mam'nutr'i
mamnutris	mam'nutr'is
mamnutrado	mam'nutr'ad'o
mamnutranta	mam'nutr'ant'a
mamnutrantaj	mam'nutr'ant'a'j
mamnutrantajn	mam'nutr'ant'a'j'n
mamsuĉas	mam'suĉ'as
mamula	mam'ul'a
mamulaj	mam'ul'a'j
mamulo	mam'ul'o
mamuloj	mam'ul'o'j
mamulojn	mam'ul'o'j'n
mamulviando	mam'ul'viand'o
mamzono	mam'zon'o
mamzonoj	mam'zon'o'j
mamzonon	mam'zon'o'n
mamono	mamon'o
mamuta	mamut'a
mamuto	mamut'o
mamutoj	mamut'o'j
mana	man'a
manaj	man'a'j
manajn	man'a'j'n
manan	man'a'n
mane	man'e
mani	man'i
mano	man'o
manoj	man'o'j
manojn	man'o'j'n
manon	man'o'n
manartiko	man'artik'o
manbatalo	man'batal'o
mandorso	man'dors'o
manenmane	man'en'man'e
maneto	man'et'o
manetoj	man'et'o'j
manetojn	man'et'o'j'n
maneton	man'et'o'n
manfarado	man'far'ad'o
manfarita	man'far'it'a
manfaritaj	man'far'it'a'j
manfaritajn	man'far'it'a'j'n
manfaritaĵo	man'far'it'aĵ'o
manfaritaĵoj	man'far'it'aĵ'o'j
mankatenoj	man'katen'o'j
mankatenojn	man'katen'o'j'n
mankatenita	man'katen'it'a
mankluĉilo	man'kluĉ'il'o
manlaboro	man'labor'o
manlaboroj	man'labor'o'j
manlaboron	man'labor'o'n
manlaboristoj	man'labor'ist'o'j
manlavado	man'lav'ad'o
manlibro	man'libr'o
manlibroj	man'libr'o'j
manlibrojn	man'libr'o'j'n
manlibron	man'libr'o'n
manpafiloj	man'paf'il'o'j
manpilkado	man'pilk'ad'o
manplato	man'plat'o
manplatoj	man'plat'o'j
manplatojn	man'plat'o'j'n
manplaton	man'plat'o'n
manpleno	man'plen'o
manplenon	man'plen'o'n
manpremas	man'prem'as
manpremi	man'prem'i
manpremis	man'prem'is
manpremo	man'prem'o
manpremoj	man'prem'o'j
manpremon	man'prem'o'n
manradiko	man'radik'o
manradikon	man'radik'o'n
manrelo	man'rel'o
mansako	man'sak'o
mansakon	man'sak'o'n
mansaketo	man'sak'et'o
mansaketon	man'sak'et'o'n
mansalutas	man'salut'as
mansalutante	man'salut'ant'e
mansigna	man'sign'a
mansignas	man'sign'as
mansignis	man'sign'is
mansigno	man'sign'o
manskribo	man'skrib'o
manskribon	man'skrib'o'n
manskribaĵo	man'skrib'aĵ'o
manskribaĵoj	man'skrib'aĵ'o'j
manskribita	man'skrib'it'a
manskribitaj	man'skrib'it'a'j
manskribitan	man'skrib'it'a'n
mansurmeto	man'sur'met'o
mansvingas	man'sving'as
mansvingis	man'sving'is
mantenebla	man'ten'ebl'a
manteneblaj	man'ten'ebl'a'j
mantuko	man'tuk'o
mantukoj	man'tuk'o'j
mantukojn	man'tuk'o'j'n
mantukon	man'tuk'o'n
manumi	man'um'i
manumo	man'um'o
manumoj	man'um'o'j
manumojn	man'um'o'j'n
manao	mana'o
manaĝera	manaĝer'a
manaĝeraj	manaĝer'a'j
manaĝerajn	manaĝer'a'j'n
manaĝero	manaĝer'o
manaĝeroj	manaĝer'o'j
manaĝerojn	manaĝer'o'j'n
manaĝeron	manaĝer'o'n
manaĝerado	manaĝer'ad'o
manaĝerteamo	manaĝer'team'o
manaĝisto	manaĝist'o
manatoj	manat'o'j
manĉestro	manĉestr'o
manĉura	manĉur'a
manĉuraj	manĉur'a'j
manĉuran	manĉur'a'n
manĉuroj	manĉur'o'j
manĉurio	manĉur'i'o
mandalo	mandal'o
mandarena	mandaren'a
mandarenan	mandaren'a'n
mandareno	mandaren'o
mandarenoj	mandaren'o'j
mandarenon	mandaren'o'n
mandarenanasoj	mandaren'anas'o'j
mandarina	mandarin'a
mandarino	mandarin'o
mandarinoj	mandarin'o'j
mandate	mandat'e
mandato	mandat'o
mandatoj	mandat'o'j
mandatojn	mandat'o'j'n
mandaton	mandat'o'n
mandatperiodo	mandat'period'o
mandatulo	mandat'ul'o
mandatuloj	mandat'ul'o'j
mandiblo	mandibl'o
mandibloj	mandibl'o'j
mandiblojn	mandibl'o'j'n
mandolino	mandolin'o
manekeno	maneken'o
manekenoj	maneken'o'j
manetono	maneton'o
manga	mang'a
mango	mang'o
mangoj	mang'o'j
mangojn	mang'o'j'n
mangon	mang'o'n
mangao	manga'o
mangaoj	manga'o'j
mangaon	manga'o'n
mangana	mangan'a
mangano	mangan'o
manĝa	manĝ'a
manĝaj	manĝ'a'j
manĝas	manĝ'as
manĝi	manĝ'i
manĝis	manĝ'is
mangho	manĝ'o
manĝo	manĝ'o
manĝoj	manĝ'o'j
manĝojn	manĝ'o'j'n
manĝon	manĝ'o'n
manĝos	manĝ'os
manĝu	manĝ'u
manĝus	manĝ'us
manĝadas	manĝ'ad'as
manĝadi	manĝ'ad'i
manĝadis	manĝ'ad'is
manghado	manĝ'ad'o
manĝado	manĝ'ad'o
manĝadon	manĝ'ad'o'n
manĝaĵa	manĝ'aĵ'a
manĝaĵaj	manĝ'aĵ'a'j
manĝaĵan	manĝ'aĵ'a'n
manĝaĵo	manĝ'aĵ'o
manĝaĵoj	manĝ'aĵ'o'j
manĝaĵojn	manĝ'aĵ'o'j'n
manĝaĵon	manĝ'aĵ'o'n
manĝaĵmalabundoj	manĝ'aĵ'mal'abund'o'j
manĝaĵoprezoj	manĝ'aĵ'o'prez'o'j
manĝaĵprezoj	manĝ'aĵ'prez'o'j
manĝaĵproduktado	manĝ'aĵ'produkt'ad'o
manĝaĵproduktadon	manĝ'aĵ'produkt'ad'o'n
manĝaĵprovizado	manĝ'aĵ'proviz'ad'o
manĝaĵprovizadoj	manĝ'aĵ'proviz'ad'o'j
manĝaĵprovizadon	manĝ'aĵ'proviz'ad'o'n
manĝaĵrubo	manĝ'aĵ'rub'o
manĝaĵsekureco	manĝ'aĵ'sekur'ec'o
manĝaldonaĵoj	manĝ'al'don'aĵ'o'j
manĝanta	manĝ'ant'a
manĝantaj	manĝ'ant'a'j
manĝantajn	manĝ'ant'a'j'n
manĝantan	manĝ'ant'a'n
manĝantas	manĝ'ant'as
manĝante	manĝ'ant'e
manĝanto	manĝ'ant'o
manĝantoj	manĝ'ant'o'j
manĝata	manĝ'at'a
manĝataj	manĝ'at'a'j
manĝbastonetoj	manĝ'baston'et'o'j
manĝbastonetojn	manĝ'baston'et'o'j'n
manĝbutikoj	manĝ'butik'o'j
manĝebla	manĝ'ebl'a
manĝeblaj	manĝ'ebl'a'j
manĝeblajn	manĝ'ebl'a'j'n
manĝeblan	manĝ'ebl'a'n
manĝeblas	manĝ'ebl'as
manĝegas	manĝ'eg'as
manĝegis	manĝ'eg'is
manĝejo	manĝ'ej'o
manĝejoj	manĝ'ej'o'j
manĝejojn	manĝ'ej'o'j'n
manĝejon	manĝ'ej'o'n
manĝema	manĝ'em'a
manĝeroj	manĝ'er'o'j
manĝerojn	manĝ'er'o'j'n
manĝeti	manĝ'et'i
manĝetis	manĝ'et'is
manĝeto	manĝ'et'o
manĝetoj	manĝ'et'o'j
manĝetojn	manĝ'et'o'j'n
manĝeton	manĝ'et'o'n
manĝhavebleco	manĝ'hav'ebl'ec'o
manĝigas	manĝ'ig'as
manĝigi	manĝ'ig'i
manĝigis	manĝ'ig'is
manĝigo	manĝ'ig'o
manĝigon	manĝ'ig'o'n
manĝigos	manĝ'ig'os
manĝigu	manĝ'ig'u
manĝigado	manĝ'ig'ad'o
manĝigataj	manĝ'ig'at'a'j
manĝiloj	manĝ'il'o'j
manĝilojn	manĝ'il'o'j'n
manĝilaro	manĝ'il'ar'o
manĝilaron	manĝ'il'ar'o'n
manĝinta	manĝ'int'a
manĝintaj	manĝ'int'a'j
manĝinte	manĝ'int'e
manĝita	manĝ'it'a
manĝitaj	manĝ'it'a'j
manĝkultivaĵoj	manĝ'kultiv'aĵ'o'j
manĝkutimoj	manĝ'kutim'o'j
manĝkutimojn	manĝ'kutim'o'j'n
manĝoĉambro	manĝ'o'ĉambr'o
manĝoĉambron	manĝ'o'ĉambr'o'n
manĝodisponeblo	manĝ'o'dispon'ebl'o
manĝofonto	manĝ'o'font'o
manĝokutimoj	manĝ'o'kutim'o'j
manĝosalono	manĝ'o'salon'o
manĝotablo	manĝ'o'tabl'o
manĝotablon	manĝ'o'tabl'o'n
manĝonta	manĝ'ont'a
